"Pollutant","Aggregation level","State","County","Unit of measure","January","February","March","April","May","June","July","August","September","October","November","December"
"SO2","California Region","","","emissions (pounds)","-307.3734633247368","-425.00049535318976","-434.073982654023","-507.1555739007017","-504.3490038398304","-330.3747255708731","-556.8484979681089","-585.5333357505733","-485.8141681854031","-446.5833467927878","-487.9532972506131","-490.51360408822075"
"NOX","California Region","","","emissions (pounds)","-1444.759606713429","-1854.9273005751893","-2098.9391643863637","-2797.868466505781","-2801.027429049369","-1736.589442224009","-2597.9225547169335","-2725.122087039519","-2317.605050459504","-2131.3784471196122","-2171.585826239083","-1971.4898637416773"
"CO2","California Region","","","emissions (tons)","-3163.1336671160534","-3602.258811611682","-4579.029491591267","-5394.987407993525","-5529.99754517735","-4875.231384322047","-5450.414468278643","-5340.265169788152","-4882.425513448659","-4402.82822977379","-3610.2331737689674","-3178.5750558800064"
"PM25","California Region","","","emissions (pounds)","-283.3420623608981","-330.79926618468016","-401.9494690763531","-512.8968139204662","-519.6061256341927","-397.621158276801","-543.7743741163285","-574.1645521405153","-493.22175580402836","-416.49431115190964","-378.80101203056984","-333.5103076280793"
"VOCS","California Region","","","emissions (pounds)","-63.08242688853352","-79.51083158326219","-94.01569815197581","-128.88238942974567","-134.26440360042034","-110.65795479850931","-144.9730120808672","-152.5983545837371","-130.09716577800282","-96.29794085946924","-84.64374486314773","-75.23976421430416"
"NH3","California Region","","","emissions (pounds)","-170.3014657004096","-184.6690525736194","-234.75651443193783","-266.13929736473074","-271.8206448623969","-271.6397301887482","-364.50276293358183","-396.810210720374","-337.8356709505024","-242.90612306981348","-196.7029771618836","-177.90150167280808"
"SO2","California Region","","","percent","-0.08272019264513114","-0.11574251543556413","-0.14197201674271087","-0.2540315072982602","-0.2715350453437123","-0.1367794395021111","-0.1375612929362531","-0.12125133824347212","-0.11617402692733216","-0.10081826877208504","-0.10915856840616682","-0.10886704395062959"
"NOX","California Region","","","percent","-0.07317797558906379","-0.09671514931834951","-0.1249922249626246","-0.23936225734058064","-0.2566999864677258","-0.12967757715059355","-0.12473765177542634","-0.11165203849684649","-0.10841622020379357","-0.09329715143473422","-0.09498583125187998","-0.08520659707363659"
"CO2","California Region","","","percent","-0.0921428701428346","-0.10874683370360229","-0.1626179573469605","-0.31110178990314113","-0.3400481622770182","-0.22312729883578933","-0.1489744924657149","-0.12212189904535622","-0.12803960048028984","-0.11229125368740894","-0.09156789302526101","-0.07935659783237775"
"PM25","California Region","","","percent","-0.08335237090432067","-0.1001437995163005","-0.1416211371128678","-0.27561707010456493","-0.2945822830345195","-0.17414760825807502","-0.1444877771996512","-0.1273143740022032","-0.12610597420732172","-0.10514273534918166","-0.09563891108270191","-0.08326375945158074"
"VOCS","California Region","","","percent","-0.08662177729409896","-0.11154618481870493","-0.1563577791455198","-0.34665050665437286","-0.3826220331448876","-0.22842675986605812","-0.16918442814986973","-0.14488320962928924","-0.14418564563257866","-0.11114860015778508","-0.09809909802447744","-0.08626769434753578"
"NH3","California Region","","","percent","-0.1007049936241433","-0.11117824313771155","-0.17122448063662438","-0.32940870268038897","-0.3578523827825655","-0.24923035945463748","-0.18032471798345168","-0.15756486134923248","-0.15694679749468687","-0.11989675651759377","-0.09728917178598191","-0.08718544327832542"
"SO2","State","CA","","emissions (pounds)","-24.047667871018348","-26.729526082894154","-34.30725722816351","-36.460920066521794","-37.30750037388316","-37.38818160204937","-40.24689737620065","-38.19045039889534","-36.080673364074755","-33.529881735339586","-25.716182875195955","-21.88100620095429"
"NOX","State","CA","","emissions (pounds)","-348.7410932004568","-349.68446697224863","-530.053416795854","-707.8920757579617","-692.6404003598145","-587.5510897224885","-603.8001067573787","-600.2132883269805","-539.284516112355","-446.0853363900096","-369.3527066251845","-319.59025065333117"
"CO2","State","CA","","emissions (tons)","-2720.0344698280096","-3031.149483532179","-3891.449698728975","-4431.697745890589","-4513.248372319853","-4334.307584245456","-4743.904662733898","-4608.816037030891","-4228.0991888032295","-3750.4359843386337","-2959.405093515292","-2612.0455358559266"
"PM25","State","CA","","emissions (pounds)","-187.6900676311343","-209.21507316746283","-255.04511123511475","-305.9997836052353","-302.01528513568337","-289.4630843046325","-394.0276940035692","-418.34911300300155","-353.3376889277715","-277.48354674788425","-239.86288122506812","-211.9034415477363"
