"Pollutant","Aggregation level","State","County","Unit of measure","January","February","March","April","May","June","July","August","September","October","November","December"
"SO2","Carolinas Region","","","emissions (pounds)","-3997.600448286161","-3415.021688278066","-3944.7359620665666","-4167.096546390792","-5876.608576252591","-5686.6586336214095","-5467.254148297012","-5559.944800092839","-5433.474951359909","-4914.752778181806","-4008.1387200043537","-3114.065380305052"
"NOX","Carolinas Region","","","emissions (pounds)","-6247.964991747402","-6669.694321975112","-7034.380755431019","-8127.823168830015","-8002.235906098969","-7174.058229054324","-7265.586492887698","-7052.188053947873","-7014.241825717501","-8089.7933721560985","-6720.18409388233","-6553.780977692455"
"CO2","Carolinas Region","","","emissions (tons)","-5031.834092833102","-5000.884526565671","-5746.132322487421","-6413.314971772023","-7023.881730220281","-6616.253160364926","-6860.624711858109","-6522.168419771828","-6451.721227872185","-6438.765318517573","-5127.893998168409","-4708.821393191814"
"PM25","Carolinas Region","","","emissions (pounds)","-677.729470616905","-645.1475185233867","-704.4593551120488","-841.0645762733766","-932.9896263536066","-918.9003527574241","-1022.4943130048923","-954.3998376571108","-910.4592896096874","-882.4500543496106","-677.565424335422","-591.52557070693"
"VOCS","Carolinas Region","","","emissions (pounds)","-217.50476302581956","-211.61625951121096","-205.1834075525403","-257.29801616905024","-308.3400496560498","-368.62843426523614","-589.8700220225146","-547.8983391754446","-391.9531730146846","-303.7105695877981","-214.16745829535648","-147.307435441704"
"NH3","Carolinas Region","","","emissions (pounds)","-220.89576791634317","-224.1953980915423","-246.10806432698155","-294.0841041789681","-282.85477833321784","-325.31458436336834","-380.4157711301232","-345.0310056505841","-342.48910151666496","-291.13759254832985","-243.40109716472216","-204.64975978637813"
"SO2","Carolinas Region","","","percent","-0.14720604611570368","-0.18151756739420244","-0.20151457042961388","-0.2681635916086828","-0.198226647109921","-0.16456645315875962","-0.10706110094481212","-0.1122237281666362","-0.13387542319509843","-0.22922181619550808","-0.15584042492010183","-0.14207322686951768"
"NOX","Carolinas Region","","","percent","-0.09579109471593265","-0.13339832971891608","-0.13330995281895247","-0.18139966566485646","-0.14675219302510123","-0.11943997790719554","-0.0891003850247902","-0.08843657241703415","-0.10353351253386825","-0.14512240792349","-0.10788160504418141","-0.11558735273492135"
"CO2","Carolinas Region","","","percent","-0.08847020202320223","-0.11259315682098238","-0.12174514156863347","-0.15706135251224845","-0.12402478436421502","-0.10774238140173414","-0.08446733420048319","-0.08198490515461013","-0.09441886984627364","-0.12992676611126272","-0.09411593719363302","-0.09385835103720032"
"PM25","Carolinas Region","","","percent","-0.09331391137953728","-0.1151837367333549","-0.11795535688518795","-0.16291865742807266","-0.12929859421298562","-0.11694349394574952","-0.09619363223875595","-0.09171794440364353","-0.10326737269806514","-0.13976924696255208","-0.09761888678964889","-0.09290700420617408"
"VOCS","Carolinas Region","","","percent","-0.11357726708719997","-0.14958174001637214","-0.1364840588524365","-0.20037448320151643","-0.16030833295296448","-0.1728814969226335","-0.18136818111267664","-0.17251804613695332","-0.15774029579238502","-0.18367302460941445","-0.11724455444791831","-0.09045987797619834"
"NH3","Carolinas Region","","","percent","-0.07053328513048164","-0.08899978809106895","-0.09113270059255471","-0.12223442105692897","-0.09338135535474895","-0.1013375004792056","-0.09110929232768657","-0.08430013713686672","-0.09712030403247462","-0.10305802910363641","-0.08096012809874957","-0.07226836760298398"
"SO2","State","NC","","emissions (pounds)","-2783.901467352174","-2337.6200866280124","-2806.995228269603","-2867.3642540217843","-4164.865571596194","-4011.040567128919","-3917.6682076230645","-3942.0995381637476","-3842.600646095816","-3398.0072435259353","-2733.54584727739","-2123.3728844323196"
"NOX","State","NC","","emissions (pounds)","-4681.878015966155","-4591.090614523739","-5043.2885525622405","-5790.101068265736","-6252.14920817269","-5496.055128131062","-5452.534724199213","-5265.011230908334","-5459.308535833843","-6025.72098532971","-4887.7222711136565","-4608.958213673439"
"CO2","State","NC","","emissions (tons)","-3475.03532473417","-3472.108953117393","-4278.796023895033","-4624.0863225222565","-4902.558842676692","-4574.073841817211","-4878.088274153881","-4583.846892088652","-4536.046009276062","-4569.584392983466","-3426.066851225216","-3338.1190933892503"
"PM25","State","NC","","emissions (pounds)","-477.44337056786753","-445.650091557065","-518.1269242350827","-613.3297234359779","-684.5488910500426","-663.3084797732881","-733.210890182876","-682.1035723413806","-669.3807082081912","-627.2600790202268","-455.5380574853625","-420.3249186037574"
"VOCS","State","NC","","emissions (pounds)","-175.09404419414932","-164.70841376052704","-163.97977241204353","-203.40704635190195","-246.22624225034087","-300.2523377214675","-495.9880271125585","-464.27486196602695","-322.3602589525399","-247.57133806569618","-163.84898211281688","-106.93423473738949"
"NH3","State","NC","","emissions (pounds)","-83.01263231554185","-101.1252758094488","-126.81196669759811","-139.62540807772893","-107.92576343579276","-150.3065724800108","-202.8289645180048","-175.14596945070662","-166.82559045460948","-128.56112882045272","-93.88158879130788","-82.02801915013697"
"SO2","State","NC","","percent","-0.15863774477064008","-0.19519985096363787","-0.22528922722101735","-0.29632220290073963","-0.2072039426639073","-0.17020912041040245","-0.1113939490561919","-0.11566362482917482","-0.13831421275941763","-0.24778610697542064","-0.16440507733139215","-0.1525473207881551"
"NOX","State","NC","","percent","-0.11708776001728176","-0.15608697427206344","-0.1636258487214499","-0.22782570676296945","-0.16283527700349473","-0.1283351918015764","-0.0920505497575092","-0.09108265017909137","-0.11198553336893219","-0.18185991317722147","-0.1285087630510141","-0.1366614427150138"
"CO2","State","NC","","percent","-0.09973833313431804","-0.1292926406035585","-0.15064998884415265","-0.19342154245654608","-0.14134448915431927","-0.12008600017825675","-0.09435937212668113","-0.09074205258621795","-0.1059127502109625","-0.15246772521922716","-0.1024925169153924","-0.1109580302256493"
"PM25","State","NC","","percent","-0.10681449548554393","-0.13196337123994187","-0.14474876840488146","-0.20415672405205365","-0.15287730376898276","-0.13383188362206996","-0.10573839732430838","-0.10075438547347779","-0.11858633823791905","-0.16427551735335197","-0.10674516652980857","-0.11000789978337686"
"VOCS","State","NC","","percent","-0.14500397160993647","-0.19460242001759268","-0.18433119430576209","-0.2799675154591366","-0.2015000270592726","-0.21554089759692244","-0.21589278325582015","-0.20753587456165964","-0.19228457172181346","-0.24468950913415702","-0.142680236887567","-0.10907259478666809"
"NH3","State","NC","","percent","-0.0754593162819418","-0.11392715040496387","-0.1347544048196941","-0.17188607120724583","-0.10465947757120223","-0.13628876032082865","-0.13300804455812026","-0.11774281537554043","-0.13523010196544924","-0.12916417736045377","-0.08835994217826282","-0.08442892606942312"
"SO2","State","SC","","emissions (pounds)","-1213.6989809707738","-1077.4016016303794","-1137.7407338221092","-1299.732292379369","-1711.7430046963273","-1675.6180665267166","-1549.585940667661","-1617.8452618743759","-1590.8743052515201","-1516.7455346572679","-1274.5928727174178","-990.6924958821619"
"NOX","State","SC","","emissions (pounds)","-1566.0869757626206","-2078.6037075475324","-1991.092202855274","-2337.72210052656","-1750.0866979211569","-1678.0031008999795","-1813.0517686232924","-1787.17682303302","-1554.9332898696885","-2064.072386797052","-1832.4618227588944","-1944.8227639882825"
"CO2","State","SC","","emissions (tons)","-1556.7987680579536","-1528.7755734471139","-1467.336298573995","-1789.22864925256","-2121.322887517512","-2042.1793185281567","-1982.5364377079532","-1938.321527657099","-1915.675218662247","-1869.1809256325942","-1701.8271469241008","-1370.7022998346947"
"PM25","State","SC","","emissions (pounds)","-200.28610005858354","-199.49742696329486","-186.33243087577284","-227.73485283800983","-248.44073529547313","-255.59187298762845","-289.2834228305728","-272.2962653146824","-241.0785813962575","-255.1899753365724","-222.02736685494892","-171.20065210785833"
"VOCS","State","SC","","emissions (pounds)","-42.410718833096325","-46.90784574947611","-41.20363514099154","-53.89096981771581","-62.11380740611639","-68.37609654113476","-93.8819949154713","-83.62347720617254","-69.59291406213015","-56.1392315220437","-50.3184761806624","-40.37320070165151"
"NH3","State","SC","","emissions (pounds)","-137.88313559582457","-123.07012228420353","-119.2960976237955","-154.458696102869","-174.92901490008808","-175.0080118831247","-177.58680661401013","-169.88503619816038","-175.6635110618954","-162.57646372934687","-149.51950837604818","-122.62174063472776"
"SO2","State","SC","","percent","-0.1263256532468851","-0.15755623263236235","-0.15988667392133302","-0.22168859669588606","-0.17932298702446772","-0.15246716143297642","-0.09747550048341465","-0.10464074608345286","-0.12424457441205647","-0.19627730479254152","-0.14017896503810312","-0.12384743928566132"
"NOX","State","SC","","percent","-0.06205065719665634","-0.10097826029541988","-0.09073088912524194","-0.12055361216295991","-0.10847629128043614","-0.09734130817888817","-0.0812674463071401","-0.08146442266307605","-0.08184551718767989","-0.09128717911511476","-0.07554033119439295","-0.08465159720433509"
"CO2","State","SC","","percent","-0.07065274991381064","-0.08705577195706758","-0.07806720402069608","-0.10570637286753767","-0.09665349751241385","-0.08757914962142153","-0.0671470141482289","-0.06675086076168456","-0.07511654568150379","-0.09543429543215168","-0.08081855806423546","-0.06824532822031015"
"PM25","State","SC","","percent","-0.07170844187047411","-0.08970387804459044","-0.07787333490170788","-0.10551724639276078","-0.09073774027035922","-0.08809373528259337","-0.07828318714631351","-0.07489206072344354","-0.07600556100313088","-0.10226910756956084","-0.08305065688607813","-0.06724311258115462"
"VOCS","State","SC","","percent","-0.059942295472147265","-0.08253546003558664","-0.0671334076042207","-0.09665714477079726","-0.08855027785310547","-0.09249477131410214","-0.09831054728698864","-0.08907414095473813","-0.08609514595879351","-0.08747673745722201","-0.07418233944911641","-0.06230111692092973"
"NH3","State","SC","","percent","-0.0678659992216187","-0.07543722205906565","-0.06780166492466294","-0.09692506047057327","-0.0875599603472434","-0.08304626852413939","-0.0670027433941206","-0.065206027986959","-0.07661529889350631","-0.08885630781395945","-0.0769156483906875","-0.06591717091877364"
"SO2","County","NC","Anson County","emissions (pounds)","0","0","0","0","0","0","0","0","0","0","0","0"
"NOX","County","NC","Anson County","emissions (pounds)","-23.222421726720313","-14.575280756590473","-7.902893091499209","-20.29113186790505","-23.103730010544496","-29.180821442438173","-68.99392570376585","-70.81949965037711","-29.332244093482586","-28.216189500707515","-17.299393914032407","-4.152570224616284"
"CO2","County","NC","Anson County","emissions (tons)","-16.602615219769177","-10.764088752448743","-5.881448409013501","-14.463221748740807","-15.806748228039396","-20.445526609381886","-49.16653914530798","-50.805761666120816","-21.054942655044215","-20.32663332397715","-12.54196684481758","-2.831318193091647"
"PM25","County","NC","Anson County","emissions (pounds)","-17.06041333398116","-11.110853624119727","-6.281906175349377","-15.00555067035657","-16.119574788448517","-20.896897086560784","-50.10690407515176","-51.881478227596745","-21.263903341237892","-20.807051671567933","-13.03925634603911","-2.986362491755699"
"VOCS","County","NC","Anson County","emissions (pounds)","-43.72520750784861","-28.47670632552945","-16.10029286423014","-38.45867060697083","-41.31387316148721","-53.55797327365144","-128.42213933338644","-132.97030716104928","-54.4985967115681","-53.32770280269597","-33.41913107947403","-7.653936460396835"
"NH3","County","NC","Anson County","emissions (pounds)","-1.8283841477713167","-1.1868158738250543","-0.6551649934556565","-1.6023721574426588","-1.7267541200495202","-2.246502143442285","-5.378743205975525","-5.560158565395568","-2.3132041596313684","-2.245649637937902","-1.3847095534167124","-0.318617532712949"
"SO2","County","NC","Anson County","percent","0","0","0","0","0","0","0","0","0","0","0","0"
"NOX","County","NC","Anson County","percent","-0.3866087594075531","-0.532501300989843","-0.2828139587197727","-1.1303462836014588","-0.33362893195153737","-0.33146935229541347","-0.37078311508938555","-0.38995851899769435","-0.24845300082861418","-0.7017604562633829","-0.29987598060136933","-0.10127388739150925"
"CO2","County","NC","Anson County","percent","-0.386874252647292","-0.550107678283984","-0.2950856329001622","-1.1358272448729267","-0.33719898640656815","-0.3416552652561878","-0.384378043722272","-0.40676845002337036","-0.26196742982835425","-0.7037548080327812","-0.3050998919233158","-0.09746947301563602"
"PM25","County","NC","Anson County","percent","-0.3853708089218378","-0.5495844554065761","-0.3052218299862325","-1.1432665288213073","-0.33730352810771935","-0.3424137352077899","-0.3850389963914358","-0.4081639040709167","-0.25973792491098596","-0.700340840952274","-0.30691380027910103","-0.09948248150319428"
"VOCS","County","NC","Anson County","percent","-0.3853708089219724","-0.5495844554067266","-0.30522182998625835","-1.1432665288208","-0.3373035281075734","-0.3424137352074542","-0.3850389963915394","-0.4081639040707617","-0.25973792491075326","-0.7003408409524159","-0.30691380027906434","-0.09948248150378117"
"NH3","County","NC","Anson County","percent","-0.3867867323138526","-0.5508855057169251","-0.2985192908196765","-1.146117739007478","-0.3378465955036491","-0.3441291459617256","-0.38492788642801523","-0.4075113591221048","-0.2637496893564032","-0.7057103362019196","-0.30570364314522763","-0.09967642152983261"
"SO2","County","NC","Buncombe County","emissions (pounds)","-98.67279107370996","-147.55137758061755","-148.7130042797362","-188.69211082418042","-125.80152720733895","-102.31793378453585","-57.718207692261785","-87.86438218236435","-91.20668400105205","-180.58350104436977","-101.16650483483681","-61.455893473132164"
"NOX","County","NC","Buncombe County","emissions (pounds)","-135.79174322844483","-143.0285695039056","-175.52421923732618","-209.42435328967986","-178.73185743155773","-178.95513444329845","-222.3395549368288","-211.06152884778567","-170.01801738876384","-206.49319102049049","-137.49843186957878","-116.65058544525527"
"CO2","County","NC","Buncombe County","emissions (tons)","-89.29761400220741","-119.30220581634785","-136.54927132792363","-170.4218477417162","-117.71400519971212","-103.76962269321666","-135.19259838791913","-137.6745865593257","-108.29484019757365","-161.57716251994134","-94.39266892697196","-74.67912928221631"
"PM25","County","NC","Buncombe County","emissions (pounds)","-13.595213101205445","-20.60068803730246","-22.44936754423179","-28.457780656728573","-14.42494238463405","-10.368446119478904","-6.858227112188615","-9.820215712425124","-9.942842475476937","-24.78567422890046","-12.154980825413077","-11.222654496272298"
"VOCS","County","NC","Buncombe County","emissions (pounds)","-2.3969224309171295","-3.391159548014457","-3.8320719283715334","-4.8967084311279905","-2.9628986343045653","-2.434261269974286","-2.939635021150025","-3.245322076904813","-2.3885428505573145","-4.363128155021059","-2.4129257584422703","-2.132883248402777"
"NH3","County","NC","Buncombe County","emissions (pounds)","-2.780753820993141","-2.5531331036231677","-3.4760799432297063","-4.408732363237959","-5.79332287869147","-6.51622160002762","-12.86977121347536","-11.67747197628887","-6.97931346107589","-5.0419228426469545","-4.269306205080966","-2.838616310164525"
"SO2","County","NC","Buncombe County","percent","-0.08908470146377918","-0.16600815692997498","-0.16228336158031426","-0.24211958925190621","-0.09625039119702251","-0.07224342733062375","-0.03261999193184908","-0.050617842226828885","-0.058547711639580696","-0.1896168882459008","-0.09402110340881203","-0.0625106948056549"
"NOX","County","NC","Buncombe County","percent","-0.09184992996076456","-0.12047878878831147","-0.1427660621979093","-0.19965370928354434","-0.124524433074589","-0.11326411837468435","-0.10479937514486881","-0.10190515580460298","-0.09602728616028425","-0.16025201822235108","-0.09567882421746252","-0.08897957439919013"
"CO2","County","NC","Buncombe County","percent","-0.07114566224674114","-0.11603930355024172","-0.12671626196051924","-0.18211088674457795","-0.0942468402407649","-0.07787462239074305","-0.08003049670351212","-0.08314997042391419","-0.07432486647760081","-0.14443214827076933","-0.07734867170221452","-0.06602917637290848"
"PM25","County","NC","Buncombe County","percent","-0.06463711316660636","-0.1165667328252289","-0.1206767978455662","-0.17511760982098212","-0.06895285187046539","-0.04722931306272352","-0.02637936495749892","-0.03832531700719204","-0.042267068866706815","-0.13056692066868988","-0.059365858052233565","-0.05828665537334053"
"VOCS","County","NC","Buncombe County","percent","-0.0741000198454816","-0.12718533299938337","-0.13773961218579003","-0.20559128909319588","-0.09222981996852488","-0.07098231951243303","-0.06865457113797611","-0.07724956650369806","-0.06391822224769553","-0.15199399954719298","-0.07642343278567322","-0.07334464172111926"
"NH3","County","NC","Buncombe County","percent","-0.13376102828899303","-0.18094917022601398","-0.2519036617631096","-0.4318321820760287","-0.2771465484404023","-0.25863073778735074","-0.29128738449887637","-0.27578853292301714","-0.22585520141590723","-0.30813852302595385","-0.2093716107052562","-0.17524921419660902"
"SO2","County","NC","Catawba County","emissions (pounds)","-1068.9301493755775","-1061.281310853432","-1240.1349213091307","-1144.357563687896","-1794.5854346157284","-1876.638432399137","-1675.5220135184936","-1750.4153694726992","-1748.8669877909124","-1359.77267077344","-1162.6919295667903","-887.2413126331521"
"NOX","County","NC","Catawba County","emissions (pounds)","-1643.0833169401158","-1702.9599825660698","-1982.8421005683485","-1876.2845082746353","-2485.212298836326","-2399.2980940470006","-2068.760583810974","-2118.0852701738477","-2225.0078472364694","-2192.2847726379987","-1726.4346050685272","-1539.6090897398535"
"CO2","County","NC","Catawba County","emissions (tons)","-729.1739544684533","-687.865412993764","-878.2258073624107","-793.2676807754324","-1105.2056931176921","-975.564098942792","-790.5219269244699","-804.6058094977634","-892.1816770540318","-919.3961487577762","-708.6865460093832","-680.4217230564682"
"PM25","County","NC","Catawba County","emissions (pounds)","-52.382864794570196","-49.83239067386603","-63.45006266161363","-59.44929796261931","-84.00079078367708","-74.45079222576169","-63.64049677066214","-64.49919793475419","-67.41259084078047","-65.29599867981597","-52.3699000306442","-48.98943292608601"
"VOCS","County","NC","Catawba County","emissions (pounds)","-21.150669431815913","-20.380541102618736","-25.565738806300942","-24.75003729652417","-35.28851815392409","-31.474793897046766","-27.94278499074062","-28.125994085654384","-28.389915740601282","-26.072031325513308","-21.705381817428133","-19.87744158163332"
"NH3","County","NC","Catawba County","emissions (pounds)","-0.7079886376849345","-0.6696774118824464","-0.8526386720234314","-0.7682912785342637","-1.0726987200546318","-0.9464329874219857","-0.7678196073876506","-0.7803298410915431","-0.8669223326972997","-0.8961321278244441","-0.6890959194480502","-0.6583900910952707"
"SO2","County","NC","Catawba County","percent","-0.15084540234279306","-0.2170114129164335","-0.24745635105548067","-0.29216697969157207","-0.2148147368599693","-0.19045035166516572","-0.11270680354635695","-0.12192038351487901","-0.14964573297960085","-0.2458625585455559","-0.17261677444164883","-0.15636611112522053"
"NOX","County","NC","Catawba County","percent","-0.11764075530530717","-0.1644185278352578","-0.18523180896985897","-0.21406782478688283","-0.17224813459153893","-0.14626132776974085","-0.08969822705132333","-0.0944348430739766","-0.11794628468598674","-0.19140011226288384","-0.12933700401645723","-0.1305863776413677"
"CO2","County","NC","Catawba County","percent","-0.11194048691473076","-0.14127786965426534","-0.17305277606457814","-0.18699388726928023","-0.16589324672941252","-0.13071066605664908","-0.07757896557794093","-0.08098438903447416","-0.10518879038585241","-0.17005118315017667","-0.1139991623111247","-0.12211380106743823"
"PM25","County","NC","Catawba County","percent","-0.11114621216206332","-0.14218889635484608","-0.173683241468438","-0.19563339383680198","-0.17392769485343473","-0.1372603822600451","-0.08493861045578531","-0.08833676585014508","-0.10900315000728332","-0.16729305303295253","-0.11654917436703538","-0.1220896495911832"
"VOCS","County","NC","Catawba County","percent","-0.10987657488463658","-0.1428092283084142","-0.17179318520212253","-0.20029814240810823","-0.17864098684701282","-0.14172245352472287","-0.09034716123561574","-0.09335201190165489","-0.11187280250811958","-0.16356999796758254","-0.11836634574780507","-0.12157779790742716"
"NH3","County","NC","Catawba County","percent","-0.11189853944710733","-0.1416305951420045","-0.17299438685405233","-0.1865021427041908","-0.16574907977044515","-0.13054484281972467","-0.07758238325151955","-0.08086791868394673","-0.10522631590381476","-0.17067421959994525","-0.11412799856661031","-0.12165843637475603"
"SO2","County","NC","Cleveland County","emissions (pounds)","-228.7040329616866","-275.6190712886746","-335.0348681070027","-349.0205645615788","-412.5563729776186","-288.48706735047745","-248.99291864252882","-219.8653354406706","-225.5718866736279","-258.62900540808914","-221.29922711764812","-279.75047638299293"
"NOX","County","NC","Cleveland County","emissions (pounds)","-321.0393412983394","-444.6569719292456","-550.1701666798908","-724.9350650310516","-599.0361219850602","-402.29138842818793","-407.74366748018656","-369.62205344694667","-340.245232110261","-432.0954584880383","-404.9273358437931","-634.316135154746"
"CO2","County","NC","Cleveland County","emissions (tons)","-581.5524135013111","-810.9095649794326","-961.2694383648341","-975.8052431704127","-785.7774262389867","-641.3625263343565","-683.5369245216716","-643.7196935897227","-595.7150409511523","-815.5835634320974","-571.9015288117807","-703.8662637534435"
"PM25","County","NC","Cleveland County","emissions (pounds)","-63.21924678829237","-72.65099635445222","-87.8364026796844","-100.88104223390837","-89.38730127350573","-85.93859716314182","-86.16114539840783","-74.5881502621778","-80.30652029519842","-80.4307241968636","-65.16539505134278","-75.93544734956959"
"VOCS","County","NC","Cleveland County","emissions (pounds)","-11.954572864131478","-13.660608207123005","-17.158734094449756","-19.53688455116753","-15.826419234537752","-14.8803920589271","-14.70058324468846","-12.840406956987863","-13.579979781025031","-15.16981477724039","-11.797411413190275","-14.350057229357844"
"NH3","County","NC","Cleveland County","emissions (pounds)","-14.68737810177845","-15.559822063705724","-16.751997957589992","-14.138611624271107","-19.864399308347856","-31.461556596002993","-38.868416326138686","-33.3172221322784","-37.08319550047963","-21.912347509332903","-12.977227449466227","-8.958140168719183"
"SO2","County","NC","Cleveland County","percent","-0.1259147179105045","-0.19698249185650854","-0.228251394054323","-0.2977568936372994","-0.15211609266846488","-0.09526224458055661","-0.06282062340177932","-0.056493092295845766","-0.0666977211156298","-0.16885051099480022","-0.12596834812939187","-0.18308537285030158"
"NOX","County","NC","Cleveland County","percent","-0.07379576603628464","-0.12660527357492224","-0.14777881951318822","-0.2337962112587761","-0.1293670951477241","-0.08097675548544585","-0.06555404253066027","-0.06036088719328215","-0.06291597817228242","-0.111862516891884","-0.09601791158422758","-0.1668850204175847"
"CO2","County","NC","Cleveland County","percent","-0.09599520885807952","-0.1672883228623807","-0.18705567853347282","-0.23003116730135068","-0.12301565418335754","-0.09254638636455442","-0.07657066391357367","-0.07356509755110247","-0.07819787183676","-0.15259926384132608","-0.0972520428306191","-0.1350210256081452"
"PM25","County","NC","Cleveland County","percent","-0.10656099171006671","-0.1600724248571743","-0.18271565173157323","-0.25572733681016757","-0.1484842264864479","-0.12828294256642483","-0.09389664639155783","-0.08352051640237948","-0.10597270128265361","-0.15717625411987027","-0.11441581312424916","-0.15206517262524505"
"VOCS","County","NC","Cleveland County","percent","-0.0982752238935901","-0.14267714428538675","-0.168673733999779","-0.23057872874221624","-0.12910950148903536","-0.11088637292768035","-0.08280243446355333","-0.07406433821059852","-0.09083961268879932","-0.1420102084371115","-0.10060884454213737","-0.13727505548949698"
"NH3","County","NC","Cleveland County","percent","-0.1327718657482612","-0.2009108540626166","-0.20403516851044487","-0.21074398808323194","-0.16550126014755312","-0.22434333474786244","-0.1709492811496003","-0.15368122404026152","-0.21909199693725578","-0.23140807337066624","-0.12531916361488066","-0.1038875872437522"
"SO2","County","NC","Craven County","emissions (pounds)","-13.708960042626131","-6.7444346372940345","-26.041619288153015","-78.7622993595869","-15.53363999544672","8.315462547194329","-6.7787458994062035","-12.577653213513258","-4.055142405697552","-13.459503408361343","-8.28406442530104","-33.60752364805376"
"NOX","County","NC","Craven County","emissions (pounds)","-28.748681157376268","-27.686206328478875","-43.32987412252987","-88.62513477586617","-20.723194525111467","14.042501158983214","-8.716464592289412","-12.261558957587113","-8.910532058303943","-27.78854526966461","-19.28374475799501","-50.42202649619139"
"CO2","County","NC","Craven County","emissions (tons)","-7.244593812349194","-12.651353208078945","-20.84542659424187","-44.6764210713518","-8.812091382140352","6.212194949235709","-3.09548972765333","-7.64084711221949","-3.4200728778814664","-9.619009591951908","-5.888729386679188","-22.83825643000455"
"PM25","County","NC","Craven County","emissions (pounds)","-2.0096924357221724","-2.34324561550784","-4.407961019953291","-9.39833916759926","-2.007547417309979","1.1904044390939816","-0.6705382189884403","-1.6895216628890921","-0.6035422065233433","-2.6789571427634655","-1.4338482256716816","-4.8886611966208875"
"VOCS","County","NC","Craven County","emissions (pounds)","-0.9299973375718764","-1.084351090230939","-2.039810639587813","-4.349138329883772","-0.9290047173153653","0.5508668586908243","-0.31029561903051217","-0.7818363747255717","-0.27929280878834106","-1.2397036312386263","-0.6635219442860034","-2.262257555602446"
"NH3","County","NC","Craven County","emissions (pounds)","-0.00020430750363353845","-0.0002382168801533524","-0.00044811807821387717","-0.0009554453106843663","-0.00020408943874428154","0.00012101780100404191","-0.00006816763957395722","-0.00017175859705853558","-0.00006135675258556184","-0.00027234567660772147","-0.00014576655928455473","-0.0004969865773658544"
"SO2","County","NC","Craven County","percent","-0.019581544956577365","-0.010552926070224487","-0.03751791114027763","-0.12396853036403521","-0.0279195986536598","0.015239144676095879","-0.011929889568710998","-0.022032658324537924","-0.00742770208526952","-0.019615365286980192","-0.01209807572808222","-0.04954382041573415"
"NOX","County","NC","Craven County","percent","-0.033090437432599124","-0.03500918843018971","-0.0506507269788153","-0.11360711566918988","-0.024890995612197556","0.017176866142034355","-0.010226455076876346","-0.01433759409334227","-0.010867412074593144","-0.03278707384751856","-0.022720074076292337","-0.060065846973543564"
"CO2","County","NC","Craven County","percent","-0.01692974397582928","-0.032364991807983405","-0.049158589175876365","-0.11571905389505609","-0.021336549722279573","0.015319953467796986","-0.007339136678362085","-0.01804254331749645","-0.008417536484981409","-0.02291464609377382","-0.014066431502021566","-0.055322851779782696"
"PM25","County","NC","Craven County","percent","-0.021810443600997216","-0.027849158399550485","-0.04829641880027721","-0.11308420355122895","-0.02257738924329449","0.013631420801789192","-0.00738678658260451","-0.018537710823281518","-0.006901978180450356","-0.029654609638010872","-0.015907083853834304","-0.05496051740028989"
"VOCS","County","NC","Craven County","percent","-0.021810443600959614","-0.027849158399565664","-0.048296418800288884","-0.11308420355118882","-0.022577389243150694","0.013631420801886833","-0.007386786582638111","-0.01853771082326799","-0.0069019781803715975","-0.029654609637940577","-0.015907083853931244","-0.05496051740020967"
"NH3","County","NC","Craven County","percent","-0.021810443601049955","-0.02784915839966941","-0.04829641880018933","-0.11308420355121256","-0.022577389243272433","0.013631420801821049","-0.007386786582644494","-0.018537710823280002","-0.006901978180434517","-0.02965460963813321","-0.015907083853821613","-0.05496051740019456"
"SO2","County","NC","Cumberland County","emissions (pounds)","0","0","0","0","0","0","0","0","0","0","0","0"
"NOX","County","NC","Cumberland County","emissions (pounds)","-8.182214227195345","-3.2647604878701486","-6.404746221688811","-3.003384359275401","-10.061859129587901","-33.6323571963012","-18.013696020350835","-20.03595241212315","-30.723679367701152","-10.296153983196291","-4.763299624600904","0.11019544695795958"
"CO2","County","NC","Cumberland County","emissions (tons)","-1.4720910381057593","-0.5828761976290764","-1.1519046964005781","-0.5408469166197847","-1.8147857069400288","-6.0620042063414985","-3.2465011613762726","-3.608180135689963","-5.540969402900146","-1.8496567127042454","-0.8549890314972117","0.020997888663515596"
"PM25","County","NC","Cumberland County","emissions (pounds)","-0.5260383020233519","-0.22419207859185875","-0.42483919233963974","-0.18097384383543869","-0.6142217244519088","-2.211556594886332","-1.1281052906552986","-1.2522693697053455","-1.9724169621962915","-0.6671076865002021","-0.30094413343348947","0.014375194604212993"
"VOCS","County","NC","Cumberland County","emissions (pounds)","-0.22995155751758034","-0.09805536777333401","-0.18574366162024347","-0.07907861453609577","-0.2683818607367101","-0.9668254667465987","-0.49299922426092735","-0.547280097294788","-0.8621412331017666","-0.29160544320028947","-0.13154094402086258","0.006304106499513296"
