"Pollutant","Aggregation level","State","County","Unit of measure","January","February","March","April","May","June","July","August","September","October","November","December"
"SO2","Central Region","","","emissions (pounds)","-9363.230516441166","-9421.421419236809","-12904.430732384324","-13549.730021413416","-12572.993961108848","-9300.795575857162","-7289.853129282594","-7610.685681637377","-8362.278167553246","-14305.679884724319","-9589.40742729418","-9192.241654537618"
"NOX","Central Region","","","emissions (pounds)","-9461.692582149059","-9919.571273367852","-11584.023230530322","-10860.993946205825","-10806.40050826408","-11578.792672118172","-14278.468756571412","-15144.68356480822","-11615.716989014298","-10749.206496186554","-8447.8401687257","-8184.104256302118"
"CO2","Central Region","","","emissions (tons)","-6162.768872210756","-6443.78384594433","-8084.680216494948","-8167.5822589900345","-8172.719114663079","-7468.312877882272","-7791.59960686788","-7620.096328061074","-7111.595632206649","-7822.478347811848","-6044.453117039055","-5768.46599817276"
"PM25","Central Region","","","emissions (pounds)","-472.34063605673146","-508.2455118166981","-633.5586869899416","-626.6279663338792","-640.3527392601827","-579.2281845362158","-617.8859030050226","-610.6180362787563","-556.7769385272404","-609.7290163811995","-469.114801575779","-449.51212300290354"
"VOCS","Central Region","","","emissions (pounds)","-210.40802543185418","-221.5629389383248","-252.13670005247695","-262.1063298471854","-277.3496897117584","-282.39159381674835","-343.7842533416697","-338.19662710785633","-278.35065747244516","-236.81034342653584","-196.2263441727846","-184.98936251580017"
"NH3","Central Region","","","emissions (pounds)","-211.0990115335444","-219.20778483356116","-226.24546137242578","-225.49455268742167","-239.72666344494792","-305.3202907413943","-396.55663152539637","-381.4046681448817","-301.36534959153505","-191.18489265377866","-163.0008842148236","-162.79412781866267"
"SO2","Central Region","","","percent","-0.04408701445510417","-0.048378564869559645","-0.06896885447574862","-0.0948680027885109","-0.07700635977998938","-0.04586919272226486","-0.030487249737451524","-0.03133368701839102","-0.04176260985678761","-0.09213196996893315","-0.05856794627396757","-0.05167028636871203"
"NOX","Central Region","","","percent","-0.05575963943141925","-0.06342951988721234","-0.07876330133234445","-0.09865106988638614","-0.08484152882801413","-0.07054440052832849","-0.06921228383323492","-0.07126480056986884","-0.07078293689030588","-0.08931530831978356","-0.06647579900663676","-0.059000485232804004"
"CO2","Central Region","","","percent","-0.047370137905152016","-0.05389840067622864","-0.07074345721450655","-0.09372431244925587","-0.07957602503691384","-0.05803233583824823","-0.04969165389780818","-0.047676325154350205","-0.05554970194908994","-0.08250270974355577","-0.06053256372109386","-0.05315230999436074"
"PM25","Central Region","","","percent","-0.04613572680396271","-0.0540152604349554","-0.07046972779138111","-0.09135479018623567","-0.07935127224752848","-0.057323687529225856","-0.05022928649920951","-0.04866992140395313","-0.05537762403545664","-0.08168888732169734","-0.05971763638989862","-0.05267768340507409"
"VOCS","Central Region","","","percent","-0.0525042384651755","-0.06005905134917711","-0.07204509251966583","-0.09926768606131706","-0.08810387427612254","-0.07002467459004869","-0.06781897122256582","-0.06505657244234501","-0.06900310466198832","-0.0822524415820855","-0.06452079455360138","-0.05587253334801427"
"NH3","Central Region","","","percent","-0.05593132532138353","-0.0629783795116827","-0.06834155880544956","-0.08854293861028167","-0.08222573877372279","-0.08212647594581796","-0.08264515619231093","-0.07740620940217273","-0.08036931414346035","-0.06905974945300061","-0.05634700662561163","-0.05186232286948176"
"SO2","State","AR","","emissions (pounds)","-101.251974329527","-106.20220334644546","-170.1942254458845","-96.63606922296458","-92.46954896301031","-109.6437383692828","-71.9810167310352","-69.88046885331278","-104.20970673722331","-129.77023880119668","-123.27397130063036","-110.4502850829449"
"NOX","State","AR","","emissions (pounds)","-316.52650649275165","-387.1668522078544","-478.1251228590263","-320.3284633353469","-305.51744503859663","-410.4779054898536","-367.60643488680944","-320.75871186330914","-393.59532138344366","-364.2653456276166","-315.96555022645043","-322.4382619812386"
"CO2","State","AR","","emissions (tons)","-241.51324368955102","-291.5026522250846","-345.87653681309894","-260.98682883020956","-253.4653307449189","-318.75800844677724","-313.565739863785","-285.006965400069","-307.22646568063647","-311.94266244530445","-236.05345475272043","-251.37550083419774"
