"Pollutant","Aggregation level","State","County","Unit of measure","January","February","March","April","May","June","July","August","September","October","November","December"
"SO2","Florida Region","","","emissions (pounds)","-1148.2886909875087","-1634.8941404421348","-2188.622663869057","-2413.149188025389","-2569.961065862328","-2930.380959882401","-2900.636463176459","-2473.0461547458544","-2504.375121721998","-2349.816294103395","-1409.772215575911","-1552.6779508688487"
"NOX","Florida Region","","","emissions (pounds)","-2116.0074976119213","-2322.2863638331182","-3020.2095704106614","-3591.680893039331","-3865.4007159108296","-3815.3658311218023","-3871.348952425644","-3788.388386284001","-3547.4210303183645","-3355.470182768069","-2372.9025683882646","-2071.2929372885264"
"CO2","Florida Region","","","emissions (tons)","-3605.5682865222916","-3588.675038093701","-4667.266627774574","-5035.218022839166","-5184.8857798576355","-4844.346800731495","-4998.089447885752","-5020.167145008221","-4581.819725489244","-4428.979544462636","-3613.006570784375","-3438.5268933260813"
"PM25","Florida Region","","","emissions (pounds)","-466.0718827643432","-471.55150709766895","-623.3625784146134","-669.5522554733325","-676.7307389762718","-605.1155073840637","-622.3298822711222","-635.1474473341368","-572.3740591858514","-588.1623533554375","-474.21964912698604","-467.38096980017144"
"VOCS","Florida Region","","","emissions (pounds)","-96.75102093548048","-96.80782834201818","-119.23679853242356","-143.8658242409001","-163.5149545467575","-154.96670054580318","-161.1662239630532","-161.9974064420967","-153.588791895163","-135.09805537457578","-99.98201269845595","-93.47049598203739"
"NH3","Florida Region","","","emissions (pounds)","-149.26518413604936","-157.9637293938431","-189.73004364361987","-239.72361057251692","-311.31224642525194","-332.79294447030406","-349.7600643382757","-338.9436398506514","-314.08956388931256","-250.46970357309328","-161.9732792233699","-134.81382564801606"
"SO2","Florida Region","","","percent","-0.05189532232198088","-0.07977613892720647","-0.09525995832041895","-0.09271398222588163","-0.07953327450715486","-0.08677370411940877","-0.08386099385725508","-0.07213545389914595","-0.07467249219850461","-0.07050428892869133","-0.06036891342673689","-0.07140048802231919"
"NOX","Florida Region","","","percent","-0.05557196465538485","-0.0659602833779494","-0.07655152278626064","-0.08289878272303305","-0.07007724109428184","-0.06667811575601593","-0.06586410478011809","-0.06457228726392175","-0.062186356021556234","-0.06191125818613155","-0.05999399926620336","-0.0549249654195324"
"CO2","Florida Region","","","percent","-0.05335384114227439","-0.05769486120003302","-0.06692829722034788","-0.06706700216164524","-0.05582037943738761","-0.050733131380292555","-0.050920939564133856","-0.05113043777563367","-0.04811380540120955","-0.04835097434090151","-0.052055551176277186","-0.05125591210297164"
"PM25","Florida Region","","","percent","-0.05037225337816576","-0.055457871074392394","-0.06544902228749823","-0.06537488578530125","-0.05348035427849028","-0.04666168768964445","-0.04664992214305058","-0.04756360646503676","-0.04423691769523556","-0.04719474145535417","-0.04997843542157131","-0.050982511400994274"
"VOCS","Florida Region","","","percent","-0.06412756792591706","-0.06930330150296218","-0.07608117027687503","-0.0835851237464074","-0.07356966432374552","-0.06685580309401967","-0.06765068442690317","-0.06797752925943162","-0.06641717917950048","-0.0623195150945077","-0.06369246548283536","-0.06239955414778297"
"NH3","Florida Region","","","percent","-0.06204647607222198","-0.07085025055599589","-0.0758516745171723","-0.08678389314254101","-0.0864910404358763","-0.08767644427417298","-0.08986405559140473","-0.08754188335326923","-0.08309170417882408","-0.07129878870267915","-0.06449046896100188","-0.05639755796837035"
"SO2","State","FL","","emissions (pounds)","-1148.2886909875087","-1634.8941404421348","-2188.622663869057","-2413.149188025389","-2569.961065862328","-2930.380959882401","-2900.636463176459","-2473.0461547458544","-2504.375121721998","-2349.816294103395","-1409.772215575911","-1552.6779508688487"
