"Pollutant","Aggregation level","State","County","Unit of measure","January","February","March","April","May","June","July","August","September","October","November","December"
"SO2","Midwest Region","","","emissions (pounds)","-9616.016935497522","-11213.986960209906","-13984.244287483394","-14666.109532691538","-16930.146935753524","-12440.403294950724","-9788.653421163559","-10834.472153052688","-11492.43050199747","-13776.191058762372","-9617.506885483861","-8852.073316842318"
"NOX","Midwest Region","","","emissions (pounds)","-8436.478322125971","-9397.44583620876","-10762.98304452002","-11557.096784219146","-10095.886080086231","-10863.543382540345","-11405.106461584568","-11000.685700401664","-9861.70692241937","-10289.684342160821","-7622.848404623568","-7034.98656321317"
"CO2","Midwest Region","","","emissions (tons)","-5526.391366645694","-6240.257294118404","-7605.242231026292","-8120.23682237789","-8312.085160136223","-7658.249421261251","-7633.045908160508","-7564.017023488879","-6961.888947941363","-7356.222590856254","-5269.792837835848","-4921.270800970495"
"PM25","Midwest Region","","","emissions (pounds)","-596.1115888282657","-685.5208160202019","-817.5847469260916","-802.1960339960642","-854.0569122149609","-856.5552985551767","-1009.1729959510267","-945.0845584524795","-796.0839553195983","-748.4328045500442","-543.7398132765666","-529.5000569685362"
"VOCS","Midwest Region","","","emissions (pounds)","-205.63647638517432","-232.4499910559971","-281.24180543329567","-292.0675696628168","-292.5052959690802","-312.5853352355771","-359.0972336723935","-337.0246180121321","-282.98486096132547","-263.3764475893695","-191.99935457133688","-178.41225359146483"
"NH3","Midwest Region","","","emissions (pounds)","-139.36675138853025","-150.81703618576284","-156.44738040259108","-147.19591952103656","-142.99669856682885","-247.21188111894298","-372.0577690079808","-325.55057150591165","-228.55237364245113","-142.471518945531","-105.51781576452777","-99.97935302078258"
"SO2","Midwest Region","","","percent","-0.014396982219599163","-0.0193078789388165","-0.024809619263119257","-0.031099192710060907","-0.03122273020600206","-0.020358660772596564","-0.013044160955175932","-0.015342858932894407","-0.01872212055301678","-0.026945692459857007","-0.017882635014017","-0.016061042837101767"
"NOX","Midwest Region","","","percent","-0.01611959777248497","-0.020830698426343164","-0.024441078646551786","-0.031083388852989436","-0.027123770912973088","-0.025809461272193482","-0.021361937360036783","-0.02212273685001163","-0.023325413625099635","-0.02546968113020994","-0.018159730355139337","-0.016324563763286445"
"CO2","Midwest Region","","","percent","-0.013527060503545463","-0.017540718362962105","-0.021639837114605813","-0.027025000743692185","-0.02449289694506646","-0.020407647194613774","-0.016578251601654485","-0.017448269633256352","-0.01849419165444583","-0.022709069055430724","-0.015688165315588993","-0.014292392026878396"
"PM25","Midwest Region","","","percent","-0.013613323053968503","-0.017999056070568207","-0.021602904706094824","-0.024657843888930445","-0.0234290403364907","-0.02125184636773915","-0.02013474699715143","-0.020112146828396998","-0.019696009052241562","-0.02135370390616948","-0.0150174473610626","-0.014292171320492961"
"VOCS","Midwest Region","","","percent","-0.014483705669437338","-0.01891146445249257","-0.023229116653511392","-0.02831433182972035","-0.025011089825745864","-0.023888908356743892","-0.02176703120587268","-0.021887494373004142","-0.021556211308371504","-0.023583704005980654","-0.016603777478751358","-0.015059279264975745"
"NH3","Midwest Region","","","percent","-0.014937747423015159","-0.018806062252234183","-0.01941166637049647","-0.02088988487699407","-0.018837007758782484","-0.029224384253208145","-0.03339153384345806","-0.03174656896432356","-0.026921045970467482","-0.018706469461510042","-0.013686649965532344","-0.012624607780236434"
"SO2","State","AR","","emissions (pounds)","-1845.8700811835006","-1807.1708346158266","-2360.6601649187505","-1976.602989207022","-2914.873417007737","-2511.8029510835186","-1439.8768959734589","-1539.5401493282989","-2424.6532498905435","-2056.9636526759714","-1512.0521047236398","-1263.9978354740888"
