"Pollutant","Aggregation level","State","County","Unit of measure","January","February","March","April","May","June","July","August","September","October","November","December"
"SO2","Mid-Atlantic Region","","","emissions (pounds)","-6474.2501519322395","-7191.128280647099","-7861.881805203855","-8430.07371789217","-10987.705412231386","-10988.721054706722","-10741.749067053199","-9707.492366984487","-10009.57687035203","-7345.031745951623","-6493.997048523277","-5491.448679897934"
"NOX","Mid-Atlantic Region","","","emissions (pounds)","-5233.724172487855","-5382.96432813257","-5780.086398657411","-5236.156886782497","-5257.1766070351005","-5882.164439238608","-7979.041024744511","-6925.2773810997605","-5936.638115160167","-5489.892636865377","-4382.6141165830195","-3818.082531694323"
"CO2","Mid-Atlantic Region","","","emissions (tons)","-4653.69180425629","-5112.607420183718","-5747.999322090298","-5867.246756058186","-6225.102359704673","-6506.409263048321","-7081.742538139224","-6789.989844191819","-6223.003709495068","-5485.1994074732065","-4294.081122025847","-3700.328789398074"
"PM25","Mid-Atlantic Region","","","emissions (pounds)","-611.7950088791549","-633.2387420893647","-722.2068925546482","-726.5236971159466","-817.9356715809554","-847.260316928383","-976.9529254520312","-902.9125192966312","-820.4253212520853","-682.5055244779214","-526.4853007034399","-455.3331884103827"
"VOCS","Mid-Atlantic Region","","","emissions (pounds)","-121.2911656164797","-126.75391113827936","-144.78514556551818","-140.18418420205126","-154.08447420661105","-174.19758895295672","-227.44256597885396","-205.7226096241502","-168.7246324196458","-136.68239019752946","-104.04695727553917","-91.65536379918922"
"NH3","Mid-Atlantic Region","","","emissions (pounds)","-146.49919846758712","-116.99121918983292","-140.72153707582038","-156.78826309618307","-126.80930363666266","-192.87575514498167","-349.8797893128358","-304.05427002813667","-194.49810264632106","-145.89482575492002","-85.49919556756504","-91.1983807318611"
"SO2","Mid-Atlantic Region","","","percent","-0.018190397525789638","-0.024325266255861948","-0.026572265627061546","-0.04054217565039114","-0.042490203966304985","-0.03354452085732676","-0.021543124527593372","-0.02238551177313191","-0.027905588793489814","-0.030257623926286368","-0.024223913870342742","-0.018427576536021444"
"NOX","Mid-Atlantic Region","","","percent","-0.01807488515258188","-0.022456643543601388","-0.02367744718099579","-0.02855471486422167","-0.029059787142930303","-0.027393164187122277","-0.025149942687162103","-0.025106262840296868","-0.025942960520906597","-0.026233561470241078","-0.019682341458493353","-0.01560424148954451"
"CO2","Mid-Atlantic Region","","","percent","-0.015429452284123856","-0.020096464427600963","-0.02212239574627149","-0.029796598760140253","-0.02792086178239943","-0.024969266111750262","-0.019246226459223557","-0.020750732013006375","-0.02243004713943498","-0.024517866349768516","-0.017969126630056793","-0.014163967462103716"
"PM25","Mid-Atlantic Region","","","percent","-0.016222980559011137","-0.01997567531090316","-0.02227034720245309","-0.02971038512621001","-0.02941214247422574","-0.025884979198259356","-0.020818393000823374","-0.021780287306633672","-0.023501311843748537","-0.02449288491255837","-0.01767208451092017","-0.01398548338223839"
