"Pollutant","Aggregation level","State","County","Unit of measure","January","February","March","April","May","June","July","August","September","October","November","December"
"SO2","New England Region","","","emissions (pounds)","-563.4348360586155","-439.1000134254282","-498.1927389949269","-609.3740851347975","-434.9034042053463","-1002.6976167081011","-2239.57040763821","-1333.9058624553436","-614.9827588435292","-598.4186639185064","-663.9820916995086","-688.2874417945277"
"NOX","New England Region","","","emissions (pounds)","-1072.4478188038338","-1162.6820598609047","-997.8286954763462","-1103.8469461377244","-1344.7654169328162","-1616.030370160879","-4149.604973433772","-2807.9621267189505","-1445.1386744079064","-1163.976252638502","-1069.4585379163036","-1240.949670377886"
"CO2","New England Region","","","emissions (tons)","-3244.46321453806","-3738.193569434574","-4363.521283898503","-4261.14859380736","-4296.6075803018175","-4163.560685571516","-5268.345689417329","-4830.7828410947695","-3925.01498448872","-3672.8198541430756","-2723.7297402429394","-2722.496081870515"
"PM25","New England Region","","","emissions (pounds)","-180.87882561195875","-215.94309818618058","-228.86440278298687","-236.8571706396906","-234.19588583086443","-273.3122787655302","-448.95378672209335","-335.4842090095335","-232.16579698462738","-200.04006035732164","-172.9017441412725","-176.82301424369507"
"VOCS","New England Region","","","emissions (pounds)","-122.76130264551466","-140.31982568476815","-156.95861138719192","-141.49481828782882","-169.6231110062581","-163.04333735944238","-229.3946179879713","-206.17417708183348","-153.87257109060738","-134.5928623684522","-93.95426138811308","-103.33778836208512"
"NH3","New England Region","","","emissions (pounds)","-193.37856600238592","-188.0012143600179","-223.9662973042432","-187.09070935902128","-230.05891129265365","-233.18438889298704","-423.0345636304701","-360.90886041577323","-229.45318888983456","-226.4048284124001","-122.29752428049687","-141.32721170812147"
"SO2","New England Region","","","percent","-0.4172725465182942","-0.5190301800532237","-0.5842161002896714","-0.759833870067822","-0.7614241480345961","-1.0107031892990561","-0.5817078197882593","-0.5763804979349896","-0.7261776248203522","-0.6662524086265198","-0.6666720384957308","-0.3963019415754612"
"NOX","New England Region","","","percent","-0.17868420623349995","-0.24192479865088648","-0.1932836808288479","-0.2242307812420878","-0.3288931526181641","-0.33337943722747015","-0.38985135473716687","-0.3665257359406226","-0.3179731342291011","-0.22417392149654114","-0.20242171518405166","-0.1834581213649796"
"CO2","New England Region","","","percent","-0.1668775712127672","-0.23601282693465533","-0.2537758511647052","-0.26160314753837194","-0.29524520186975306","-0.25541634327484436","-0.1873746469786572","-0.2081268749711943","-0.25037789918182346","-0.21340716914015423","-0.15664114988958122","-0.12699294484289275"
"PM25","New England Region","","","percent","-0.17657926091741907","-0.2623863713216758","-0.2575103232574413","-0.2816069794331572","-0.3103492927868671","-0.31654383886204934","-0.27323710386386046","-0.26174791062321484","-0.28226104140528396","-0.22473635376039125","-0.19120901734826268","-0.15399825080676885"
"VOCS","New England Region","","","percent","-0.19914400952443104","-0.28474027993749895","-0.29393068347770684","-0.28140410306855834","-0.38919864862151016","-0.3215543130520918","-0.23419865937340437","-0.26525061051366977","-0.31863715328648223","-0.2513475181870224","-0.17320241740382464","-0.1497375092612372"
"NH3","New England Region","","","percent","-0.20079679042528364","-0.24486186572362997","-0.268191277848226","-0.2361269606032236","-0.3259856654201484","-0.2841256619000521","-0.2681518273228877","-0.2911093608693534","-0.29187583859077015","-0.2654405342367749","-0.14473103022412437","-0.13295763843083624"
"SO2","State","CT","","emissions (pounds)","-97.57821820673416","-93.97058364100849","-123.55443929168541","-91.21433698427609","-79.7664982025999","-152.26985073506876","-82.26633517979644","-45.384935701222275","-78.28550331097176","-94.1203292315804","-100.7371606193301","-118.10135140105922"
"NOX","State","CT","","emissions (pounds)","-303.7435196037113","-265.4531633775041","-251.34253697184613","-255.33684226108016","-274.8006414613483","-327.9743993469747","-1045.5621960277495","-714.2384825737099","-292.20326559690875","-308.1600872012059","-162.6769954420597","-313.8555430608394"
"CO2","State","CT","","emissions (tons)","-633.2547239148989","-865.2720804105047","-1131.33041501767","-1037.4913830375299","-1120.0399135374464","-945.0200904923258","-738.4426925292937","-783.7926405901089","-865.99573043501","-746.6213681238005","-607.6171509115957","-531.1422442260664"
"PM25","State","CT","","emissions (pounds)","-23.585968582658097","-33.89861940719493","-40.86088217351062","-34.02130355342888","-46.16452544325875","-35.41868340889414","-47.399505376059096","-43.20027776277129","-33.156625223487936","-30.84906240642522","-22.868534144367004","-18.63878510741779"
"VOCS","State","CT","","emissions (pounds)","-19.00898125610547","-25.28752800573784","-23.507797538219165","-21.29180424792503","-26.28427850549633","-25.738956200726534","-58.81327571672227","-45.564601300720824","-24.893189552936747","-22.076830846886878","-13.289209762357132","-20.138295226101036"
"NH3","State","CT","","emissions (pounds)","-33.18930338702194","-47.39930229273887","-49.99836620053975","-44.18972059324733","-52.8936791139422","-44.84214061915554","-73.30937899478158","-64.88638798730972","-43.96869455092383","-39.226166583343","-26.276918731782644","-29.663626588699117"
"SO2","State","CT","","percent","-0.40420672976604455","-0.578768990045948","-0.7501631364411986","-0.5896334612234935","-0.778259136697609","-1.0583997841774817","-0.22097528410916178","-0.17087957360900163","-0.606056633419767","-0.5666827379833818","-0.5219979134609046","-0.37818705487137383"
"NOX","State","CT","","percent","-0.22697451536420316","-0.25343781478257915","-0.2236627914976688","-0.23917433109869854","-0.29701136404476486","-0.29802166132208474","-0.4226199004347521","-0.4080271763934534","-0.2842613694086798","-0.26925771470400356","-0.1412489188250808","-0.20586288085445859"
"CO2","State","CT","","percent","-0.09028060055313221","-0.14408175597025755","-0.17228608290727135","-0.16534896513601982","-0.1920317538186596","-0.15527842630848038","-0.08748150844961022","-0.10335794048776265","-0.14599541400212726","-0.11494775446718129","-0.09327675983108089","-0.0713711133981115"
