"Pollutant","Aggregation level","State","County","Unit of measure","January","February","March","April","May","June","July","August","September","October","November","December"
"SO2","New York Region","","","emissions (pounds)","-1315.1228508428903","-1406.7433319136035","-1332.4340559543343","-780.63720205758","-849.9812186268391","-874.5540066153044","-2270.7759201906156","-1069.930427061976","-1084.4428092408343","-828.9759966646088","-675.3467447725125","-1028.5978214646457"
"NOX","New York Region","","","emissions (pounds)","-1826.8749743015505","-1943.8629178471165","-2071.355087312404","-1692.7772916002432","-1654.6156092197634","-2944.6263872761047","-6954.76414394239","-5203.396503281081","-2395.2617800147273","-1857.9175627417862","-931.3800157373771","-1380.0651058515068"
"CO2","New York Region","","","emissions (tons)","-2491.7410677694716","-2937.328435407486","-3646.3567967016716","-3667.2188679021783","-3668.682649184717","-4072.515524113085","-5046.7544515640475","-4730.380428452045","-3443.0009586676024","-3107.27232935722","-1883.3140065292828","-2018.6862386250868"
"PM25","New York Region","","","emissions (pounds)","-450.7792721305741","-524.275586551812","-627.248515995976","-599.3486381703406","-617.7279052762897","-805.5229097596603","-1265.4469260043697","-1133.4620614785235","-741.6505577199277","-531.0861865064944","-299.09462140331743","-313.04000144678866"
"VOCS","New York Region","","","emissions (pounds)","-192.5521904816851","-221.89805357715522","-249.8935679288843","-208.94477401996846","-213.67212536658917","-353.6840744569636","-652.5180165429483","-568.0134639382304","-327.2165137600823","-198.3516828986758","-117.051293868848","-127.85931459945277"
"NH3","New York Region","","","emissions (pounds)","-227.94034977664705","-257.13204568043875","-302.8781050524558","-260.7875983835547","-255.87120543066703","-397.420150739621","-677.6078268389683","-600.63778547541","-384.4558593754773","-228.35227055000723","-137.72500706248684","-147.38607997870713"
"SO2","New York Region","","","percent","","","","","","","","","","","",""
"NOX","New York Region","","","percent","-0.14974331710459898","-0.19254635840784","-0.2044325415891699","-0.22078029783922037","-0.24783689012849158","-0.29883924721046823","-0.274663970430164","-0.28670911018176964","-0.23527287834279437","-0.20646755750210397","-0.10256799004024347","-0.12949930210954547"
"CO2","New York Region","","","percent","-0.104703344198584","-0.1435326998647854","-0.17375921598484934","-0.2256176451974656","-0.23320751600344405","-0.19792392185323626","-0.13482427303826194","-0.1515884817804614","-0.16088229952423938","-0.16616850308536593","-0.09915659641890535","-0.09211397517349769"
"PM25","New York Region","","","percent","-0.1261038955077962","-0.17412128633740864","-0.20641324655868465","-0.2631293644883476","-0.2732288944323546","-0.25093226997147455","-0.18217980084616478","-0.20795555354167708","-0.22185695150169765","-0.19785367047604227","-0.10966122865808445","-0.09806389215167026"
"VOCS","New York Region","","","percent","-0.15104050300367186","-0.2115351878192564","-0.23975705412063913","-0.2746610698661345","-0.28419900726658337","-0.30780242774574473","-0.22466024829543374","-0.2627130108442892","-0.27489611183371643","-0.21668645182031637","-0.1261250723614768","-0.11616022828206572"
"NH3","New York Region","","","percent","-0.15854051885779546","-0.21724128670125437","-0.2595159748079574","-0.3147563721189053","-0.3107165880791601","-0.3084616277529026","-0.2107859045399572","-0.2481231642011005","-0.2863552873440868","-0.22585818170722644","-0.13338743145973295","-0.11897768474094851"
"SO2","State","NJ","","emissions (pounds)","-1.37566946913239","-2.21289908369954","-3.386442832697412","-4.333088917541772","-3.9256928961704034","-2.9874232020310956","-0.22609531684838657","-0.7732586157026162","-2.1747269791148938","-2.553132257056859","-2.2230113391001396","-1.511469189642412"
"NOX","State","NJ","","emissions (pounds)","-34.94217909951112","-31.011481844179798","-19.624056588261737","-53.018076502601616","-79.1923478966055","-94.85492627655913","-62.8872598495509","-72.38395110548299","-88.73573483340442","-15.492506787355524","3.8780906260944903","-8.83713569593965"
"CO2","State","NJ","","emissions (tons)","-192.20657512161415","-241.9811462405487","-299.7230198200559","-305.61336333613144","-290.9278418398462","-316.6417586611351","-238.19910633796826","-285.10717572201975","-307.5790483407909","-192.28470577456756","-136.46115930139786","-144.822538688255"
"PM25","State","NJ","","emissions (pounds)","-92.50847862080991","-102.59187383211975","-113.31024507925758","-81.84569048762205","-63.59761662391975","-147.19575690705824","-205.85817579769355","-221.43428052910895","-180.46854901249026","-57.94550233605332","-47.35946285452519","-42.190181780955754"
"VOCS","State","NJ","","emissions (pounds)","-34.75968688755711","-38.0900310353918","-42.07267747304468","-29.22217028967225","-22.643741295362815","-55.43957158563171","-78.95714290157048","-84.70235104334279","-68.59570742793403","-21.177986521594903","-17.313599527865335","-15.174875912534844"
"NH3","State","NJ","","emissions (pounds)","-85.37377156030561","-94.27730508983223","-105.05561792308072","-74.44265768406876","-57.79397924579462","-137.41234134202023","-195.30981415913266","-209.21208453425788","-169.08860796254157","-53.48668253461801","-43.884675087741925","-37.10983802789633"
"SO2","State","NJ","","percent","-0.0385241002290106","-0.06908010833703261","-0.09956881889117909","-0.15344444069811272","-0.14022920870427757","-0.09466763786677258","-0.005750232616883159","-0.020320046048829934","-0.06665392377836624","-0.0816964108380678","-0.07067261913365495","-0.04327720599726899"
"NOX","State","NJ","","percent","-0.027689880382058895","-0.02760220591312883","-0.016029777945400843","-0.04718106351433378","-0.09265968532260092","-0.09678788927494031","-0.04674351132859126","-0.05807016831402974","-0.08812540765663815","-0.013113037095031092","0.0033457721799550035","-0.007164261764371523"
