"Pollutant","Aggregation level","State","County","Unit of measure","January","February","March","April","May","June","July","August","September","October","November","December"
"SO2","Northwest Region","","","emissions (pounds)","-4055.5095766671","-5781.11012905743","-7693.661122665741","-5817.950837959535","-5651.881401852705","-7491.281112836674","-7568.3378080111","-6367.541213201359","-7258.108378108591","-8603.986240644008","-4925.317584361881","-3591.727335905656"
"NOX","Northwest Region","","","emissions (pounds)","-6019.553645543754","-8837.668052472174","-12021.350658828393","-9317.559328679927","-9378.20434832573","-11481.63790436089","-12207.858746798709","-10899.570724332705","-11084.30458891578","-13031.147675940767","-7640.379928227514","-5222.614605110139"
"CO2","Northwest Region","","","emissions (tons)","-4283.08461885713","-5539.653577094898","-7671.678078722209","-7311.327299805358","-7600.06398701109","-7715.961278135888","-8491.443401725963","-8226.008574413136","-7454.27062628977","-7835.957204952836","-4865.826394552365","-3881.7369911149144"
"PM25","Northwest Region","","","emissions (pounds)","-519.0011832930613","-609.4274447286734","-864.8195670871064","-772.3172109206207","-793.6552274812129","-863.7286775625544","-956.7610550676472","-931.7109242754523","-848.2838473787997","-895.8699117458891","-549.1356437790673","-460.8343123116065"
"VOCS","Northwest Region","","","emissions (pounds)","-165.114177924057","-229.12376595160458","-341.28856282145716","-315.3214936054719","-302.4601119218278","-326.68594835861586","-430.81663010979537","-427.2301687525469","-338.5041175248334","-351.0684275579988","-209.45456474029925","-174.38634553720476"
"NH3","Northwest Region","","","emissions (pounds)","-116.2713116488303","-116.99127330302144","-122.83952684068936","-162.48545120624476","-215.02790862899565","-146.51330595143372","-319.64484204750624","-379.3524893512367","-223.73585523065412","-107.74710455420427","-106.9954895095143","-121.66880936460802"
"SO2","Northwest Region","","","percent","-0.04365971374993691","-0.07294476763513523","-0.10060305424685546","-0.11490558141545199","-0.13851121122030136","-0.11857274602846236","-0.07726941705117382","-0.06161986677614674","-0.07896904498691695","-0.10863452008411391","-0.058947997060923386","-0.037959764129906606"
"NOX","Northwest Region","","","percent","-0.0425372895455786","-0.0730797159540945","-0.10294854601935115","-0.12186684180860222","-0.15968733219975143","-0.12124579596782992","-0.08270289750244855","-0.0699350555733235","-0.08000321559783238","-0.10770162340105799","-0.05992322496297517","-0.03624675409601084"
"CO2","Northwest Region","","","percent","-0.04215943768929768","-0.06385060641791741","-0.09002975514577491","-0.1265615726149367","-0.174078948023819","-0.11123031187767927","-0.08054354184832214","-0.073862896282066","-0.07584691583237443","-0.0891595107724374","-0.05305319907760699","-0.037484161488526464"
"PM25","Northwest Region","","","percent","-0.04760164005912507","-0.06585928723366694","-0.09588226713615045","-0.12886597922199047","-0.17755585078751462","-0.11840723998371253","-0.08404013803231253","-0.07716046768271434","-0.08022290351938251","-0.09625292356874593","-0.05616416721839131","-0.041410192608029646"
"VOCS","Northwest Region","","","percent","-0.03909412290621193","-0.06359525336591931","-0.09704114331507434","-0.13745652477542217","-0.1796027050932608","-0.11566163638091642","-0.09593467725805688","-0.08941238705546678","-0.0816088083520455","-0.09615567716076384","-0.054986494545770044","-0.040417135031752344"
"NH3","Northwest Region","","","percent","-0.05203004127360951","-0.06251197201832237","-0.06564419796303314","-0.11831142336727846","-0.20457572352307937","-0.09436302554706535","-0.1315843790789959","-0.14364428500790394","-0.10273540941054306","-0.05669325884123329","-0.053972653412252825","-0.052922073413722154"
"SO2","State","ID","","emissions (pounds)","-1.4292966978582626","-1.7100594994369658","-1.7824395274012659","-1.5451704220886313","-1.165064847179167","-1.814552883651345","-3.287877538308976","-3.4990630951283492","-2.769086550900738","-2.511544224901172","-1.4934319829505966","-0.9736393295895596"
"NOX","State","ID","","emissions (pounds)","-82.20774428598816","-93.82983099271951","-61.348375499699614","-43.022501861189085","-34.64658036068067","-56.56983633842901","-394.76865440073016","-470.35486927902093","-236.28638860807405","-115.46455985522334","-93.88051831585472","-90.14120370343153"
"CO2","State","ID","","emissions (tons)","-150.6166677988076","-191.0548129688541","-201.62919451738708","-164.9542092235497","-123.07006491620268","-202.92251781032246","-502.2932317315426","-563.5398563893687","-368.38985770661384","-288.5250189876533","-166.21979371551424","-117.38573344211909"
"PM25","State","ID","","emissions (pounds)","-11.09145521222672","-14.129596492350174","-17.488428391756315","-15.824706904712912","-12.734787672101902","-18.509226271891748","-24.172558617825416","-24.43606007613198","-22.28295227072158","-23.317944068810903","-11.803574715670038","-6.638996570072777"
"VOCS","State","ID","","emissions (pounds)","-3.492765017774218","-4.366923676398528","-5.263786390272344","-4.509590448880317","-3.502121505380046","-5.477348640940818","-7.155096159349341","-7.097698044037315","-6.7431906130032075","-7.014014208899425","-3.629443880436156","-2.0845459001338895"
"NH3","State","ID","","emissions (pounds)","-12.194988289265893","-15.798722696084951","-15.097787038952447","-11.632364636849161","-8.166984460713593","-14.71731449246181","-51.87810977576373","-60.84081796816463","-34.4843730194425","-22.821036835362975","-13.935333731031278","-10.88007935024325"
"SO2","State","ID","","percent","-0.08229764659775168","-0.1219374464270133","-0.14405478911420058","-0.25666718139024886","-0.41877228373771924","-0.21345289047902766","-0.16908954465327194","-0.1603488306020982","-0.16336123320056642","-0.19405620669817333","-0.10197474724010719","-0.053553020282291364"
"NOX","State","ID","","percent","-0.11506037203778877","-0.1795433766458781","-0.14621930253079152","-0.23903041210928413","-0.39923732620925784","-0.23037894825094132","-0.39573158386794494","-0.38039948667326884","-0.3132598547235884","-0.2653482307791445","-0.17317442638083638","-0.11454361314474205"
"CO2","State","ID","","percent","-0.07884927569952054","-0.1243089176367792","-0.15046031312434818","-0.26644439499301265","-0.42347442391071866","-0.22345040929579468","-0.2247967174118092","-0.22041738381665493","-0.19282277414199372","-0.20537822669397607","-0.10369065612164852","-0.05864821004992508"
"PM25","State","ID","","percent","-0.06613093556997471","-0.10167290830694226","-0.1394132084059803","-0.25367849121759695","-0.42215488482982716","-0.2103502616140208","-0.1365778106920865","-0.12589366647912298","-0.13946947795235018","-0.17741172489677257","-0.08116865287803743","-0.03840397095149164"
"VOCS","State","ID","","percent","-0.07123448016513613","-0.10811022815043361","-0.14589879875864495","-0.2585696088029311","-0.4236646521272132","-0.21788672408875912","-0.1379479771239399","-0.12449725574867301","-0.14423686214419706","-0.18540792329292993","-0.08598140093633065","-0.04117187219708854"
"NH3","State","ID","","percent","-0.08512458648837046","-0.1396782274364339","-0.15671960850707412","-0.2767124297028434","-0.424136209375367","-0.23289481526034347","-0.2872497470282334","-0.28636155851693473","-0.23197846718859302","-0.22583053048708496","-0.11837691636925145","-0.07166809399914482"
"SO2","State","MT","","emissions (pounds)","-700.2856952142902","-1105.3745156172663","-1866.923191459151","-1518.0673686783994","-1254.0730381660396","-2200.3684136630036","-1575.7897702958435","-1063.1887818025425","-1103.8320563491434","-2050.1056162551977","-944.2814201922156","-583.4725141753443"
"NOX","State","MT","","emissions (pounds)","-1204.193983271718","-1708.9245522501878","-3041.2997063272633","-2344.573382348288","-2001.314325689571","-3030.589504865464","-1374.5268309619278","-821.4718626635149","-1281.6757700778544","-3320.818027954083","-1451.0507683567703","-678.3527909764089"
"CO2","State","MT","","emissions (tons)","-498.2459226497449","-662.0995979693253","-1376.7444999632426","-1278.632072133245","-1314.084894971922","-1474.6153791001998","-651.049192171311","-437.1467650826089","-580.9899228815921","-1506.1606537920889","-599.9558215208817","-341.18852171697654"
"PM25","State","MT","","emissions (pounds)","-91.34464872727403","-111.32484073459636","-244.97670902690152","-245.42596306779888","-273.53743831855536","-271.8910127801064","-127.65066300507169","-105.81497929315083","-108.4998832110432","-260.5811724154046","-107.60234206909081","-66.25845093862154"
"VOCS","State","MT","","emissions (pounds)","-19.238751685756142","-24.770476544879784","-51.486165628673916","-48.620868294856336","-50.96128967609911","-56.322931520327984","-28.66235517682071","-24.793071370768303","-25.14643136067025","-57.199803510156926","-23.398003750939097","-13.387902416237921"
"NH3","State","MT","","emissions (pounds)","-0.2683975450693197","-0.604000814439587","-1.5637042089094848","-0.7777168407226327","-0.35840494892431707","-1.192829491788416","-4.360510822350079","-5.81285437414499","-3.389906027429106","-3.159455966618225","-0.5485386348921111","0.019280748485016375"
"SO2","State","MT","","percent","-0.03998039669745369","-0.07330177761866491","-0.13075462580989602","-0.19030073780749918","-0.23757380637845538","-0.18736111994894042","-0.07815234074860812","-0.050037398397011476","-0.05841284943848776","-0.1370061975694286","-0.05954323634974518","-0.032784762093548345"
"NOX","State","MT","","percent","-0.043459301592560014","-0.07136277086670932","-0.13343180508805874","-0.18123848201907766","-0.24154749096698172","-0.17511415677572714","-0.04963832554852188","-0.02852497938702548","-0.04864555984034722","-0.13940233011942452","-0.057555207901906276","-0.024184573153307912"
"CO2","State","MT","","percent","-0.03185682828798975","-0.04850693704028461","-0.10187973391519249","-0.14381865824899992","-0.20966087423971302","-0.1362128555427769","-0.04147356488533339","-0.026969947612189963","-0.0387581645711705","-0.10790855576472984","-0.04154279901451118","-0.021635923707187425"
"PM25","State","MT","","percent","-0.030247730305191216","-0.042189514453427585","-0.0925824260043719","-0.1352757056228953","-0.20917033651864278","-0.12570185676424067","-0.04160845079904042","-0.0333777183716981","-0.03712211046220542","-0.09581921744948455","-0.03847897977174927","-0.021765364955866912"
"VOCS","State","MT","","percent","-0.03150336471841241","-0.04649199040444481","-0.09717655998616061","-0.13674045372294377","-0.19907968562208875","-0.1310422774363547","-0.046099836097819515","-0.038488658045722074","-0.04247826341485963","-0.10475731919554979","-0.041480842995934145","-0.021728639717938116"
"NH3","State","MT","","percent","-0.013205596766931404","-0.03352517368363787","-0.08962898887632034","-0.06433633944689934","-0.031545316554431616","-0.08718714239956793","-0.2050706727361809","-0.24924618293747391","-0.17283804542316566","-0.1714909862310443","-0.028769615581058557","0.0009417797693810589"
"SO2","State","NV","","emissions (pounds)","-731.3314038855024","-792.8382066113409","-777.3398402899038","-50.99291010474553","21.991151986760087","-578.7898022636073","-1540.1711072048638","-1689.4731608133297","-1338.5541165473405","-911.3724177513504","-720.588290902786","-414.27971941954456"
"NOX","State","NV","","emissions (pounds)","-557.7922722664662","-648.8298974469071","-550.4718552575214","-209.30803776462562","-270.4821362310322","-499.67688070074655","-2046.0224560494535","-2385.186161775375","-1306.2702966738725","-625.2377628944814","-577.0749654383399","-436.30011911224574"
"CO2","State","NV","","emissions (tons)","-692.9533353538718","-605.3289777856553","-405.4455632411409","-404.75870777410455","-879.2631446283776","-536.0046037355205","-2199.1729486428667","-2582.1320507996716","-1419.5739090070128","-347.1418341221288","-561.3430309093092","-713.2543509695679"
"PM25","State","NV","","emissions (pounds)","-79.95836870759376","-64.54741758471937","-36.50690069558914","-43.2938800953998","-114.07451170880813","-59.01437653056928","-269.34208993348875","-326.72563950926997","-174.91672333469614","-29.924621960279183","-61.00657388528634","-88.20136322273174"
"VOCS","State","NV","","emissions (pounds)","-36.36312416459259","-25.56130618043244","-3.048795677656017","-24.382242318679346","-76.11840638920694","-22.28159990590939","-150.63359942429815","-185.99034231151745","-87.86233849094424","3.866493556794012","-29.18374708835472","-50.787804336927366"
"NH3","State","NV","","emissions (pounds)","-40.07161089805595","-28.271768289094325","-8.60597084141773","-18.50338173109776","-69.87809665807436","-25.490145475436293","-147.65683910057123","-184.47622741182568","-91.41125337690755","-3.6049878083504154","-27.347964971413603","-46.81010236327711"
"SO2","State","NV","","percent","-0.08369761562067861","-0.10882718671528432","-0.11309705202711602","-0.01033959874846269","0.004046548803680859","-0.08930617870724102","-0.14022107593489214","-0.14061325430358693","-0.13332303744361032","-0.1273277897181707","-0.09409280138071414","-0.04645183575642161"
"NOX","State","NV","","percent","-0.059437772864122225","-0.08167086548149037","-0.06998212856704923","-0.03415374095206496","-0.047189618355998116","-0.07158371148778205","-0.17985244038114379","-0.19064046404316892","-0.12777607983121447","-0.07715894222016977","-0.06872588858803617","-0.04556471979871447"
"CO2","State","NV","","percent","-0.059245882075225804","-0.062071234455254407","-0.04080152367489947","-0.048504866227304495","-0.11406826492434488","-0.059248268943271044","-0.15986116193798072","-0.17083227732866235","-0.1163387812229899","-0.03481272305120744","-0.05429334738566957","-0.05913095988118309"
"PM25","State","NV","","percent","-0.060521864746210824","-0.05892159205151007","-0.032468570311083654","-0.04457224174375251","-0.12695137070941456","-0.057020386701205336","-0.1713229564107281","-0.1879286397965117","-0.12625989438775415","-0.0267040051450308","-0.05247437095749308","-0.06457387433500926"
"VOCS","State","NV","","percent","-0.051050017384728245","-0.04336476967614349","-0.004872586346215477","-0.041884518090265985","-0.13961241811048694","-0.03745101490576711","-0.17013618867145278","-0.18904535636160322","-0.11486028554042715","0.006251779868625518","-0.04641663617606493","-0.06855420410531828"
"NH3","State","NV","","percent","-0.05694775511056219","-0.04837397831328274","-0.014020039588754458","-0.03287818154393301","-0.13155134130315857","-0.04396611406290965","-0.17382813710059922","-0.19598901572903515","-0.12288797919010959","-0.005949078463895489","-0.04397748800776323","-0.06430636059221617"
"SO2","State","OR","","emissions (pounds)","-1199.0044660498388","-1173.121978887939","-1253.1911674843868","-623.8801809512806","-54.69034852085133","-1100.2959623595816","-1135.089982766076","-805.9161409928929","-1583.4783675185172","-1656.4175605172059","-1055.6404396776343","-875.2122988499468"
"NOX","State","OR","","emissions (pounds)","-895.2116204231279","-861.0282251910539","-900.1007787390845","-564.6779229370295","-229.23898921644286","-844.2033584074816","-943.2404740264174","-691.462926493492","-1181.653587679728","-1131.6164298590156","-789.3896219688468","-748.953091801377"
"CO2","State","OR","","emissions (tons)","-638.6613258349244","-760.8898160910467","-1199.7839241090696","-1304.5370129276998","-905.6513048521301","-1146.1090018863324","-653.8872344729025","-547.2763385865837","-823.9935999820009","-1151.8384839373175","-688.0740368547849","-550.6037165550515"
