"Pollutant","Aggregation level","State","County","Unit of measure","January","February","March","April","May","June","July","August","September","October","November","December"
"SO2","Rocky Mountains Region","","","emissions (pounds)","-3648.22978879977","-3834.22568907775","-4979.336332150269","-4526.036591424607","-4832.004284672905","-4934.494146678597","-4065.632289667148","-3931.4297535195947","-4185.2450502617285","-5262.177869061008","-4136.961662941147","-3628.7662596041337"
"NOX","Rocky Mountains Region","","","emissions (pounds)","-7065.564260787331","-7168.693778718822","-9213.508906085975","-8621.801659489982","-8246.133716048673","-7979.786458690651","-7685.293843049556","-7370.525601138361","-7759.5726363053545","-8935.841799518093","-7392.770034006797","-6687.859958069399"
"CO2","Rocky Mountains Region","","","emissions (tons)","-6035.568099574186","-6395.733818355016","-7959.491011573002","-7701.8426271006465","-8008.379539246205","-7895.3032454634085","-7334.4059000639245","-7200.969842987135","-7175.159851357341","-7875.0691547701135","-6252.618919509463","-5951.612870096229"
"PM25","Rocky Mountains Region","","","emissions (pounds)","-310.15904375820537","-305.42034701412194","-366.7227000488783","-359.6229663385602","-355.84355894391774","-348.9420289043919","-414.6005684843112","-402.79225606442196","-369.75636155789834","-345.98097912274534","-301.72144016448874","-280.7052841714176"
"VOCS","Rocky Mountains Region","","","emissions (pounds)","-176.37686247621605","-175.59008053019352","-205.03217238975049","-186.9849409565213","-197.0672493064194","-197.33831542417465","-227.43277879945526","-221.21051330106275","-211.3469560752419","-194.73580792090797","-164.82889901602175","-163.34150855291227"
"NH3","Rocky Mountains Region","","","emissions (pounds)","-216.36863658719813","-211.80003366083838","-228.91267131039058","-212.4694749917544","-212.7256010864512","-225.41913182671124","-343.21733890273026","-346.61991637894243","-261.4569263210433","-201.91046426173125","-176.8678364187217","-175.32051938746008"
"SO2","Rocky Mountains Region","","","percent","-0.09522008138123951","-0.10897002135710353","-0.1475046517103938","-0.15673114324014997","-0.16670999112054957","-0.16119099258714215","-0.10728106399196924","-0.09975143854622333","-0.12385994316091624","-0.1607358116408074","-0.1239858321022555","-0.09506125673898642"
"NOX","Rocky Mountains Region","","","percent","-0.11775291501268158","-0.12994752970591764","-0.17862139838377775","-0.19932847584766916","-0.1934176550882549","-0.17520008038014678","-0.13265390907283164","-0.12150945727430291","-0.15216497507207657","-0.17952063910442365","-0.14448454857791745","-0.11225714549000548"
"CO2","Rocky Mountains Region","","","percent","-0.11227831010262795","-0.12945047054193284","-0.17104346263505768","-0.19706602901190823","-0.2049396768995191","-0.1883430237515301","-0.13668102817127842","-0.12794655084735035","-0.1523912729415284","-0.17513256102002409","-0.1356088398469102","-0.11143317933671228"
"PM25","Rocky Mountains Region","","","percent","-0.12613551439260282","-0.1352034310845871","-0.1730931047218686","-0.20065692675505198","-0.19794350661520824","-0.18144228178179192","-0.16645114105610287","-0.1533358017922155","-0.170880604343455","-0.1687458633789629","-0.14390072769356207","-0.11539207005275295"
"VOCS","Rocky Mountains Region","","","percent","-0.14463006901897862","-0.15625188734697887","-0.20030543331388923","-0.2216782185758208","-0.23441043165995304","-0.21501627338092658","-0.18439586677836048","-0.16900663270272562","-0.20035236675509605","-0.19794780423332523","-0.1621348911895481","-0.13548426870823352"
"NH3","Rocky Mountains Region","","","percent","-0.19477176534746818","-0.20639284296421834","-0.2562758629292205","-0.3004070286068051","-0.30442420626948535","-0.28587837082441186","-0.2978394193657656","-0.27569738020835927","-0.27669464872449695","-0.23711568374742914","-0.19826815379894014","-0.16097123014598363"
"SO2","State","CO","","emissions (pounds)","-2102.6837519360706","-1816.1565517270938","-2777.8077044065576","-2786.6868278665934","-2693.497099867789","-2773.4121835911646","-2353.584426501766","-2248.6761984340847","-2192.6620399127714","-2931.903943192214","-2358.661116613308","-1837.9131441768259"
"NOX","State","CO","","emissions (pounds)","-4992.80135770468","-4566.248170132283","-6228.176721001044","-5944.680223894771","-5375.896313593257","-5741.649007903878","-6056.805449442938","-5806.53880383214","-5529.069978857879","-5789.19346795883","-4954.522596745286","-4357.739982415456"
"CO2","State","CO","","emissions (tons)","-4289.35012415098","-4103.251841082703","-5423.288641338237","-5754.2726050526835","-5399.773513676133","-5356.8732370720245","-5495.287782383151","-5441.279258536641","-5045.800557948649","-5252.3013660400175","-4428.5634905463085","-3891.7291959566064"
"PM25","State","CO","","emissions (pounds)","-271.1121187013632","-254.55407376392395","-321.46533438030747","-323.01285752889817","-311.36155474575935","-310.8494234296959","-374.8895560326928","-361.63994786984404","-316.94796254779794","-295.76621561305365","-256.6018282059522","-236.8846414696891"
