"Pollutant","Aggregation level","State","County","Unit of measure","January","February","March","April","May","June","July","August","September","October","November","December"
"SO2","Southeast Region","","","emissions (pounds)","-2570.7206953237765","-3154.2148412405513","-2967.2800381430425","-2998.947644038126","-3000.0113591584377","-2779.523976233788","-2472.980804012157","-2688.8714166646823","-1918.559109248221","-3624.4641761342064","-2065.504706578329","-2392.316470847465"
"NOX","Southeast Region","","","emissions (pounds)","-5906.500969262794","-6066.427713988349","-7627.470925301313","-6651.054545393214","-7964.7389006931335","-7825.143087894656","-8008.398314608261","-8202.340797526762","-6834.477108905092","-9249.666697559878","-4469.337166108191","-5463.131978794001"
"CO2","Southeast Region","","","emissions (tons)","-4760.618901392445","-5240.7580633200705","-6647.146944990382","-6362.027338789776","-7211.665783710778","-6911.951112896204","-7067.055198442191","-7041.2368831038475","-6363.98821772635","-6777.706782808527","-4423.9563148655","-4620.440273575485"
"PM25","Southeast Region","","","emissions (pounds)","-386.99475238798186","-418.0202161137713","-528.3617391519947","-521.0344734522514","-623.8391949173529","-617.8665804704651","-630.8435465288348","-611.2159183642361","-555.167650001822","-539.2136286392342","-394.5909018344246","-364.4388149845181"
"VOCS","Southeast Region","","","emissions (pounds)","-150.03084722725907","-163.0053891641437","-214.20234381838236","-200.83252086123684","-228.25535252742702","-222.9223977557849","-219.13843032473233","-218.9833987110178","-198.14313811564352","-213.78701451659435","-144.29806154489052","-145.53159295150544"
"NH3","Southeast Region","","","emissions (pounds)","-141.87954055459704","-120.2383538033755","-156.65246612913324","-170.06760125118308","-300.25896370533155","-312.33683063369244","-390.10741800506366","-355.4103960778448","-344.5252426750958","-197.5799944427563","-128.39626843220321","-104.37860698718578"
"SO2","Southeast Region","","","percent","","","","","","","","","","","",""
"NOX","Southeast Region","","","percent","-0.06376251340651677","-0.08447866977852145","-0.09852566363130828","-0.09187004099436386","-0.10159502506717831","-0.09502182413377126","-0.0780399546341233","-0.08207276347756229","-0.07075890573705892","-0.10144783689186664","-0.05766923830328182","-0.06571199090256384"
"CO2","Southeast Region","","","percent","-0.04843209370356095","-0.06520886294594838","-0.07676656666660878","-0.07881914547236239","-0.0644048660113664","-0.059829903224595235","-0.052006662266588954","-0.05270547047869768","-0.04939900363499087","-0.06991889753673686","-0.051487648028650954","-0.05091116172492037"
"PM25","Southeast Region","","","percent","-0.044718904499676006","-0.05860109808263882","-0.06856358643809689","-0.07263543578987704","-0.0640038760485969","-0.06155128369597072","-0.053392777586436235","-0.05268728634031278","-0.04960236906141555","-0.06289803919661317","-0.05173181469275122","-0.045494311176437735"
"VOCS","Southeast Region","","","percent","-0.04529691188777373","-0.0598451989005538","-0.07284585252485001","-0.07328859201925733","-0.06136226953857511","-0.05814754117053371","-0.04886401743684505","-0.04965470938563947","-0.04663110327666411","-0.06540661179876978","-0.0495686823876974","-0.047464341418360076"
"NH3","Southeast Region","","","percent","-0.04978780117186502","-0.05146615754777656","-0.06194618201275687","-0.07203686617850676","-0.09143746432545402","-0.09222307124686212","-0.09315670674425748","-0.08711925786399956","-0.08678781777559769","-0.06863843442277019","-0.05137631279294576","-0.03983513250249125"
"SO2","State","AL","","emissions (pounds)","-678.0097234458663","-773.6029803624842","-683.44600149896","-806.3403960313881","-503.83269245387055","-607.8070223715622","-66.22682802053168","-272.0079406455625","197.69933042884804","-617.963719704072","-342.2695047883317","-413.81645094719715"
"NOX","State","AL","","emissions (pounds)","-2066.7351771374233","-1827.9467339026742","-2419.1500784503296","-2205.7364150709473","-2327.532566364389","-2226.5197183317505","-1817.8174045141786","-1938.7785634407774","-1541.9160822988488","-2526.5127253471874","-1583.5130795673467","-1568.4683645176701"
"CO2","State","AL","","emissions (tons)","-1750.0255527710542","-1858.524232313037","-2697.7005253913812","-2648.34489745507","-2186.598003739491","-1921.4512854218483","-1794.7606246825308","-1859.1499686716124","-1677.7018178198487","-2103.357204120606","-1812.4163932264782","-1738.116370467469"
"PM25","State","AL","","emissions (pounds)","-147.09447488666046","-146.31495908019133","-229.08102243510075","-226.5218799355207","-203.42244771623518","-192.98552153573837","-169.37067939329427","-176.07044557039626","-149.9926819129032","-189.71952328889165","-169.9248751763953","-150.8625906947418"
"VOCS","State","AL","","emissions (pounds)","-66.0661209890095","-66.99312562754494","-101.39783671378973","-100.3462846892362","-82.64908631451544","-75.89240436896216","-66.4840013976791","-69.56885143692489","-61.29650480629061","-81.09337519513792","-72.26271982077742","-65.74714571150253"
"NH3","State","AL","","emissions (pounds)","-35.24066698370734","-27.35938598564826","-42.82597571557562","-47.63483730336884","-70.51530807044765","-76.58439871887094","-86.63552434305893","-82.7262926571857","-74.34379593966878","-53.74401953678171","-36.62943537387764","-34.017075836571166"
"SO2","State","AL","","percent","-0.06646056359405361","-0.09146906053212596","-0.07579597370325526","-0.09464505820001531","-0.045185199541902296","-0.053080388813208215","-0.005018005269772156","-0.021065977485256054","0.016013329713083658","-0.06200303734119663","-0.03783489326509076","-0.043294929684230175"
"NOX","State","AL","","percent","-0.06616213597882578","-0.07365638813879338","-0.09064837511424134","-0.08944111115371813","-0.07082891758236579","-0.06505806229792249","-0.04504918978940298","-0.048916453270937056","-0.040573109832149463","-0.08233654542974986","-0.059588876208632985","-0.055592655342250066"
"CO2","State","AL","","percent","-0.04027216087840021","-0.05076977498407102","-0.0684125760490087","-0.07243152605672026","-0.04549254066052355","-0.039015186016770946","-0.032194849141909614","-0.03369941642416893","-0.03164550651705575","-0.04915580117299334","-0.04664782583212029","-0.04272202070984141"
