"Pollutant","Aggregation level","State","County","Unit of measure","January","February","March","April","May","June","July","August","September","October","November","December"
"SO2","Southwest Region","","","emissions (pounds)","-2568.5959164449014","-2523.9934381563216","-3024.741820749594","-3341.3279086393304","-3578.6257209004834","-2224.0743951043114","-2092.7093652207404","-2145.2298293211497","-1935.951871716883","-2985.4397559259087","-3206.7848372920416","-3189.877784364857"
"NOX","Southwest Region","","","emissions (pounds)","-8071.625139055774","-7413.524158542976","-6487.539880687371","-6332.200906937942","-8664.784153306857","-8474.121521982364","-10084.272669399157","-10497.560048149899","-9193.452993188985","-9650.113071729429","-8626.176227228716","-7659.660486052744"
"CO2","Southwest Region","","","emissions (tons)","-6470.216498188674","-6549.322717730887","-6774.467073943466","-7018.764365241863","-7637.485656379722","-7147.670143990777","-7182.455055505969","-7184.999486672692","-7064.469744388945","-7787.972785710357","-7084.354038780555","-6545.150977740064"
"PM25","Southwest Region","","","emissions (pounds)","-649.1417016288033","-702.8092602163088","-498.8989108094829","-489.2702379701077","-606.5374792673974","-829.9409264933784","-932.4538877288578","-939.8043720965507","-891.0263244459638","-858.2699217714835","-659.1812781614717","-596.5821073169936"
"VOCS","Southwest Region","","","emissions (pounds)","-216.90733059006743","-231.27445348154288","-206.35213670801022","-218.3417641496053","-228.440502037236","-294.18971736409003","-322.3432085851673","-326.037434177415","-312.6947384402156","-285.0707227589155","-217.5808836875076","-215.13320412486792"
"NH3","Southwest Region","","","emissions (pounds)","-239.21650196483824","-239.89050340163521","-229.55879520633607","-227.48785018589115","-253.0772773793433","-309.2317850696272","-389.70940703881206","-391.4019301745575","-336.14612413130817","-286.3489361743268","-220.52773083662032","-215.9179329762992"
"SO2","Southwest Region","","","percent","-0.10033430927866784","-0.10588187140859863","-0.14703215317443222","-0.16487393732076291","-0.15930810387557892","-0.0821864063104398","-0.06590098950578377","-0.06595907484596958","-0.06578761314558898","-0.11234631171458352","-0.13933517516251084","-0.12975760911630643"
"NOX","Southwest Region","","","percent","-0.1260520568335795","-0.12259961340999576","-0.1282609390904382","-0.12747970595215372","-0.15501656354817175","-0.11791685047850319","-0.11165865858004251","-0.11194704042347782","-0.11368309693958263","-0.14200028349229757","-0.1531169321595585","-0.12592968791754922"
"CO2","Southwest Region","","","percent","-0.1154942421075441","-0.12444888473192328","-0.15295730930732263","-0.16088789943326237","-0.15910378008985984","-0.11651707100393645","-0.09463583520990991","-0.09179742596893799","-0.10321716711335649","-0.1316038372569921","-0.14276168143462006","-0.12252087379402753"
"PM25","Southwest Region","","","percent","-0.12856547931436998","-0.14660594711354413","-0.1271113288233955","-0.12687372734050395","-0.14117526849785278","-0.1431875938038954","-0.12330762756006153","-0.11942382780986918","-0.13381940471776416","-0.15854031284130443","-0.15062691071273707","-0.1251940524891674"
"VOCS","Southwest Region","","","percent","-0.12135343674832516","-0.13668761816849442","-0.1471472133028147","-0.15797742458423836","-0.1501565699328366","-0.14437109146041333","-0.12196383519352758","-0.11862073207044102","-0.13432728483872683","-0.14899239436317713","-0.13886597397015155","-0.12688708428110385"
"NH3","Southwest Region","","","percent","-0.13863900858532596","-0.1471156208768693","-0.17197601541021815","-0.17261247601141289","-0.17572024760023197","-0.1570359440264098","-0.14895050940828056","-0.14363372730626436","-0.14834186408367103","-0.1545464677019073","-0.14562113300305815","-0.1317661447807087"
"SO2","State","AZ","","emissions (pounds)","-1723.1069237657357","-1659.4151269714348","-2179.616978962207","-2387.619072604226","-2297.172609233996","-1667.271291422192","-1923.795625292696","-1913.0867763906717","-1563.9204376540147","-1979.292051886674","-2164.863798634382","-1967.405782605987"
"NOX","State","AZ","","emissions (pounds)","-5389.9104957534","-5616.808090555016","-4143.335615912452","-4131.965783579275","-4769.5876215118915","-6611.384653812274","-8527.781255472451","-8812.157469835132","-7434.784252848476","-7316.755922536366","-5313.862872542348","-4617.765960001387"
"CO2","State","AZ","","emissions (tons)","-4419.3880635113455","-4620.032742237672","-4553.402068551164","-4447.20195866283","-4905.614525374491","-5338.420083867386","-5954.690468458459","-5903.655979216099","-5591.954091751017","-5599.73551186081","-4703.5642739194445","-4110.643137095496"
"PM25","State","AZ","","emissions (pounds)","-534.908670213772","-586.6997955995612","-364.04686454008333","-327.2899342976161","-463.10367329453584","-702.6347569688805","-823.0438687228598","-828.8110638089711","-778.8087974154623","-728.6364636951475","-538.1441908522393","-464.9448437686078"
"VOCS","State","AZ","","emissions (pounds)","-133.4872996185586","-155.89625098352553","-104.79929585948412","-102.12613222432265","-114.64352550395415","-212.78577949356986","-258.1374826907122","-261.31354853330413","-241.9876210023649","-197.29134712302766","-126.1411875012127","-114.49867486838775"
"NH3","State","AZ","","emissions (pounds)","-177.6950402642542","-177.25303463684395","-153.0027541405143","-147.48060546904162","-182.26627636284684","-225.70232284264057","-305.3060085194593","-305.6176160860923","-251.64430382137652","-213.581241604581","-165.94378512671392","-152.68562791551813"
"SO2","State","AZ","","percent","-0.08876205852249612","-0.09169021788183393","-0.1367523696363674","-0.1523863583197981","-0.13199165221215584","-0.08083477810629773","-0.07855548815917274","-0.07611503788303048","-0.06949290934119584","-0.09819059649318704","-0.1238348016762734","-0.10532865087412671"
"NOX","State","AZ","","percent","-0.12796459922418282","-0.13981687192407669","-0.12599978420190758","-0.1278290482683751","-0.13186793946763498","-0.13773040751703097","-0.1352993595322964","-0.13370163828756454","-0.13413363349907823","-0.162163486096128","-0.14621188778374947","-0.11625587214973378"
