"Pollutant","Aggregation level","State","County","Unit of measure","January","February","March","April","May","June","July","August","September","October","November","December"
"SO2","Tennessee Region","","","emissions (pounds)","-4257.139514967799","-3779.998865180649","-4548.834245106205","-5109.057539997157","-7447.042699448764","-7341.459323571064","-7366.793357652612","-7379.6775244455785","-6040.628993332386","-5705.29798335582","-3716.857339770533","-3671.178518872708"
"NOX","Tennessee Region","","","emissions (pounds)","-3144.021203684155","-3719.0141931441613","-3157.0637427088805","-3951.466906252783","-5199.579699350987","-4307.989689612761","-5137.99682904128","-5017.187394659035","-4775.440062280744","-4814.7014896972105","-3364.278306414839","-2989.4306013314053"
"CO2","Tennessee Region","","","emissions (tons)","-4395.351640300825","-4531.960994410329","-5247.822074401192","-5799.974935078528","-6322.306884611025","-5660.678471459076","-7447.977742344141","-7442.60250960663","-6693.6793354880065","-6079.742697768845","-4264.599274438806","-4080.254232728388"
"PM25","Tennessee Region","","","emissions (pounds)","-573.8288029273972","-558.2650581768248","-663.3760690491181","-718.6249636901193","-854.2488227083813","-819.2812298808713","-1243.4441318223253","-1300.9146999120712","-1208.071064579999","-759.849146305176","-565.242312294431","-538.863434526138"
"VOCS","Tennessee Region","","","emissions (pounds)","-148.96509367009276","-144.44641799517558","-169.16296155308373","-193.71894456783775","-210.91804326607962","-188.3504006024741","-327.853039203299","-344.02890382209443","-344.4020779489947","-219.33079391959473","-147.9777903494978","-131.75216355606972"
"NH3","Tennessee Region","","","emissions (pounds)","-192.8370672633755","-159.70389891794184","-206.0180488667247","-195.2922571330564","-243.6429572928173","-223.53864115865144","-584.9744970271713","-600.6823319568357","-665.0889506188105","-257.75089186624973","-178.92338966559328","-134.34390758679365"
"SO2","Tennessee Region","","","percent","-0.0932400693513872","-0.10538016301447166","-0.1112113365018331","-0.155044190057692","-0.1464689384566539","-0.14082484452375804","-0.1080373937824023","-0.10592896113780573","-0.08249945590816488","-0.12816934659597146","-0.08784689825962161","-0.09795414889687536"
"NOX","Tennessee Region","","","percent","-0.08620856137997605","-0.1290424758691372","-0.09640914470729674","-0.14877850488453992","-0.138756011462757","-0.11226473641026433","-0.10406621495070242","-0.09952442216197292","-0.09043169109527441","-0.13532012092861506","-0.09900719434303976","-0.09920813865918063"
"CO2","Tennessee Region","","","percent","-0.10075820906990766","-0.13239740911728048","-0.1348953297406544","-0.1884684520435544","-0.14790356355214193","-0.12942580455495428","-0.1294051871071211","-0.12613556828039713","-0.10737364617221885","-0.14194933197325402","-0.10430092211705709","-0.11614984349898737"
"PM25","Tennessee Region","","","percent","-0.10904542632254983","-0.1385629662249478","-0.14280624053050722","-0.19962081687208197","-0.1655972039597742","-0.15566761462085332","-0.17188031243264545","-0.17439702751334565","-0.15037572357053566","-0.14704959057896494","-0.11621565977289912","-0.1307992111201856"
