"Pollutant","Aggregation level","State","County","Unit of measure","January","February","March","April","May","June","July","August","September","October","November","December"
"SO2","Texas Region","","","emissions (pounds)","-4227.105472069234","-4754.1952794175595","-6391.47927964665","-5657.819958981127","-5918.810306280851","-5654.206951651722","-3636.3120802417397","-2890.5439876019955","-4105.247283343226","-4309.875998228788","-4150.017124209553","-3013.556614395231"
"NOX","Texas Region","","","emissions (pounds)","-3037.401809707284","-2710.9867651201785","-3521.2442418560386","-3245.025000838563","-4388.636004334316","-7232.913824675605","-10727.609718371183","-13105.820869244635","-9153.313725493848","-4848.0840054266155","-2884.6913690678775","-2500.378059612587"
"CO2","Texas Region","","","emissions (tons)","-4266.4983894545585","-4307.274198690429","-5524.661485783756","-5206.909562604502","-5285.358662452549","-5945.591224567965","-6369.126597844064","-5933.631276398897","-5846.532169159502","-5349.743277091533","-4290.535446882248","-3951.1951825600117"
"PM25","Texas Region","","","emissions (pounds)","-414.82059436501004","-416.29425210971385","-545.3903134444263","-503.17881093523465","-531.882973652333","-588.6700549772941","-644.7135286373086","-646.1122171028983","-583.456038485514","-520.8087602676824","-410.77079483447596","-379.4321294040419"
"VOCS","Texas Region","","","emissions (pounds)","-117.57994112677989","-111.19391647464363","-131.2406361300673","-128.60496597344172","-171.261433923617","-248.46119581488892","-333.2944506741478","-374.1854958986514","-293.6479573829565","-175.35136103295372","-114.11801501488662","-105.19667251085048"
"NH3","Texas Region","","","emissions (pounds)","-170.72387792903464","-175.1512863683165","-208.9204726240714","-202.8471151163103","-194.9652778894524","-259.25339841493405","-311.07243276701774","-302.4930560812354","-277.7328922294546","-224.3483144174097","-173.44015854608733","-170.82054884481477"
"SO2","Texas Region","","","percent","-0.02333281889814117","-0.0310535421737796","-0.038433913701840516","-0.036059355926671824","-0.03116486009241719","-0.026739275563377695","-0.015566731063322145","-0.011795730026333983","-0.018445953183583285","-0.023154607648019347","-0.02485607325780658","-0.01719507673511627"
"NOX","Texas Region","","","percent","-0.029336187729238454","-0.031215528297699014","-0.037041110257734544","-0.03643622424031545","-0.04220882680901037","-0.05914984525653643","-0.07308602200358104","-0.0770867145819963","-0.06592050185533685","-0.04477953153827338","-0.030447119984006135","-0.02509116614754749"
"CO2","Texas Region","","","percent","-0.0308949899063743","-0.0376401885918284","-0.04468493678387497","-0.04473251413799579","-0.03633253681609788","-0.03589244523392496","-0.03384975571269118","-0.02901682254846246","-0.03266263285335802","-0.0374831798529342","-0.03407906692337457","-0.02970566659603069"
"PM25","Texas Region","","","percent","-0.0296693212638124","-0.0357889510594166","-0.04336283479991506","-0.042437451407671724","-0.0357692781474831","-0.034915990140595064","-0.03374250105570233","-0.031138598354506105","-0.032090265706488166","-0.0360517966098783","-0.03216748732821907","-0.028161580386947146"
"VOCS","Texas Region","","","percent","-0.04850366799832072","-0.05770212950637017","-0.06294496028898473","-0.06738649342669145","-0.06444795524296897","-0.07310416605520072","-0.07911343038873267","-0.07511039490468062","-0.07404079636624025","-0.06780566503805988","-0.053512310027106345","-0.04630330166782168"
"NH3","Texas Region","","","percent","-0.03497201336859595","-0.043854492698937375","-0.04854213878748031","-0.05017382878819361","-0.03885107392088613","-0.04452200237892866","-0.04605644523012799","-0.04031674768851931","-0.04331178628804471","-0.044291484550559174","-0.0392135720754205","-0.036417088091181826"
"SO2","State","OK","","emissions (pounds)","-0.708432194400757","-0.7944141665325333","-0.8936911845830764","-0.856060405187236","-0.9849692211632828","-0.4569751178496517","-0.26746361536015684","-0.2295051375017465","-0.3114971109957878","-0.9734211281761418","-0.8788687180676789","-0.8632774589975725"
"NOX","State","OK","","emissions (pounds)","-51.99301494662359","-53.491431642032694","-62.16924616447068","-57.84375565312803","-87.73250345990527","-69.34359024938021","-39.773023893503705","-29.212199116911506","-44.875026376277674","-71.1247830990178","-61.083480773479096","-56.15948832685535"
"CO2","State","OK","","emissions (tons)","-89.30040913406992","-101.12973021835205","-117.90542991657276","-109.69449004190392","-144.62129819221445","-99.90599483562983","-58.92979204125004","-43.703214280540124","-66.8116864085896","-129.0698236503813","-110.79240673815366","-107.51612055033911"
"PM25","State","OK","","emissions (pounds)","-3.537237561658003","-3.989486441256304","-4.760664165473827","-4.455989216518901","-5.8210195641458995","-3.821081936652263","-2.1613777287893754","-1.63460526828203","-2.4949683773811557","-5.149842846709362","-4.418328802838005","-4.46898202207467"
"VOCS","State","OK","","emissions (pounds)","-0.4031453878778848","-0.4596949015034397","-0.521364214667301","-0.5012724118439564","-0.6641075411538395","-0.4609918369412753","-0.27484602878803344","-0.2050399625445607","-0.30719142242242015","-0.5946481283202729","-0.5003948918501919","-0.4948651304816849"
"NH3","State","OK","","emissions (pounds)","-9.532900725142099","-10.836416819955048","-12.556531660266046","-11.71087750112747","-15.502688792494155","-10.687037150175456","-6.288527469503606","-4.671179779164959","-7.144674939416291","-13.804062976854766","-11.845213061413233","-11.519629309434094"
"SO2","State","OK","","percent","-0.04293733224534306","-0.060937513327540264","-0.06513028922982936","-0.06699236529503552","-0.05306564127314789","-0.020994026516838897","-0.011057492157645591","-0.008930559815338602","-0.013522897878563171","-0.056615287295876726","-0.06093914279754842","-0.0553895310112931"
"NOX","State","OK","","percent","-0.05490519547880085","-0.07372634242623213","-0.08089764023729651","-0.08355117023946647","-0.0922540103184875","-0.054781496035830955","-0.026655734124814038","-0.017977768427809585","-0.032129556672750095","-0.07017842196638224","-0.07597059345679347","-0.06440081056690088"
"CO2","State","OK","","percent","-0.048560870819851734","-0.0709690391857653","-0.07868287877580322","-0.07992814441918059","-0.07408734315429927","-0.04044249058080494","-0.020719077470043562","-0.014212888951059367","-0.024898539633165115","-0.06643371989168942","-0.06998775965312404","-0.06261209089740073"
"PM25","State","OK","","percent","-0.047168065933998624","-0.06857808033878941","-0.07791304336508294","-0.07932240139976918","-0.07309197608011446","-0.0381802059326398","-0.018842581454943937","-0.013215528844517136","-0.023038643962798894","-0.06515523541848357","-0.06833521108197992","-0.06373280261028681"
"VOCS","State","OK","","percent","-0.04806434995936347","-0.07075622249902648","-0.07629641961804037","-0.08007038986342294","-0.07458717990926615","-0.04088248554580062","-0.02115364365725551","-0.014589216150940219","-0.02506509921076933","-0.06708985943524451","-0.06930357386377854","-0.06316897633299107"
"NH3","State","OK","","percent","-0.04849808346231799","-0.07114466978698049","-0.07839904379464162","-0.07982527951142532","-0.07425146119539754","-0.04044262038367285","-0.020669655676281463","-0.014201623804343939","-0.02489082558220499","-0.06646932661031368","-0.07000474050987435","-0.06275489135604702"
"SO2","State","TX","","emissions (pounds)","-4226.397039886564","-4753.400865236297","-6390.585588468239","-5656.9638985693455","-5917.825337097049","-5653.749976478517","-3636.0446165651083","-2890.3144824393094","-4104.935786254704","-4308.902577146888","-4149.138255493715","-3012.693336915225"
"NOX","State","TX","","emissions (pounds)","-2985.4087948221713","-2657.495333502069","-3459.0749956704676","-3187.181245211512","-4300.903500795364","-7163.570234404877","-10687.836694482714","-13076.60867010802","-9108.43869908899","-4776.9592223558575","-2823.607888272032","-2444.2185712773353"
"CO2","State","TX","","emissions (tons)","-4177.197980342433","-4206.144468514249","-5406.756055871025","-5097.21507255733","-5140.737364264205","-5845.685229796916","-6310.196805793792","-5889.928062066436","-5779.720482815057","-5220.673453407362","-4179.743040056899","-3843.679062006995"
"PM25","State","TX","","emissions (pounds)","-411.28335679951124","-412.3047656642739","-540.6296492817346","-498.7228217185475","-526.0619540873449","-584.8489730420988","-642.5521509079263","-644.4776118323207","-580.9610701154452","-515.6589174114633","-406.352466029115","-374.9631473843474"
"VOCS","State","TX","","emissions (pounds)","-117.17679573895293","-110.73422157354071","-130.71927191564464","-128.103693561221","-170.59732638153946","-248.00020397792105","-333.019604646659","-373.98045593569987","-293.3407659602817","-174.75671290408354","-113.61762012267718","-104.7018073805666"
"NH3","State","TX","","emissions (pounds)","-161.1909772036015","-164.31486954831053","-196.3639409613097","-191.13623761426425","-179.4625890988973","-248.56636126467492","-304.7839052998461","-297.8218763022451","-270.5882172860438","-210.5442514391616","-161.5949454845977","-159.30091953242663"
"SO2","State","TX","","percent","-0.02333103330313744","-0.03105099726811015","-0.03843171074583517","-0.03605683647813232","-0.031162719460404324","-0.02673986702711558","-0.015567198036911513","-0.011796030533474361","-0.018446462779321694","-0.023151516537409676","-0.024852956153849387","-0.017191679806468005"
"NOX","State","TX","","percent","-0.029100174030125804","-0.030857392552897916","-0.03668368357117665","-0.03606710459384537","-0.04174686957587736","-0.05919553821034566","-0.07356285699553346","-0.07765709909176544","-0.06626384868374473","-0.04453952330989789","-0.03005748149396533","-0.024744139172755687"
"CO2","State","TX","","percent","-0.030656570942077414","-0.03721992519175098","-0.044267820106224626","-0.044312592714158924","-0.03581902688400902","-0.03582356371125669","-0.03405128690718921","-0.029242827270536564","-0.032780795976257736","-0.03708365043330778","-0.03362181133298905","-0.0292752885219424"
"PM25","State","TX","","percent","-0.02957495732813021","-0.03562413953252809","-0.04319416656931071","-0.04226186661081375","-0.03556830931300437","-0.03489649775226596","-0.033832492206241696","-0.03124607854336995","-0.032144502525457204","-0.035891685933005416","-0.03198342844385545","-0.02797548593262931"
"VOCS","State","TX","","percent","-0.048505193329988976","-0.05765796948904707","-0.06290105830683337","-0.06734474917909607","-0.06441386845046693","-0.07321142436493315","-0.07929273632418019","-0.07528161469141036","-0.07419260920684058","-0.06780812680032286","-0.05345866289236075","-0.0462449441497918"
"NH3","State","TX","","percent","-0.03440453785345245","-0.04277246810460809","-0.047388123690012746","-0.049057336144932774","-0.03731429515589553","-0.04471592670360588","-0.0472539283276815","-0.04151409359338988","-0.04417500972094183","-0.04334331997598781","-0.037988761414672674","-0.03534440157412594"
"SO2","County","OK","Pittsburg County","emissions (pounds)","-0.708432194400757","-0.7944141665325333","-0.8936911845830764","-0.856060405187236","-0.9849692211632828","-0.4569751178496517","-0.26746361536015684","-0.2295051375017465","-0.3114971109957878","-0.9734211281761418","-0.8788687180676789","-0.8632774589975725"
"NOX","County","OK","Pittsburg County","emissions (pounds)","-51.99301494662359","-53.491431642032694","-62.16924616447068","-57.84375565312803","-87.73250345990527","-69.34359024938021","-39.773023893503705","-29.212199116911506","-44.875026376277674","-71.1247830990178","-61.083480773479096","-56.15948832685535"
"CO2","County","OK","Pittsburg County","emissions (tons)","-89.30040913406992","-101.12973021835205","-117.90542991657276","-109.69449004190392","-144.62129819221445","-99.90599483562983","-58.92979204125004","-43.703214280540124","-66.8116864085896","-129.0698236503813","-110.79240673815366","-107.51612055033911"
"PM25","County","OK","Pittsburg County","emissions (pounds)","-3.537237561658003","-3.989486441256304","-4.760664165473827","-4.455989216518901","-5.8210195641458995","-3.821081936652263","-2.1613777287893754","-1.63460526828203","-2.4949683773811557","-5.149842846709362","-4.418328802838005","-4.46898202207467"
"VOCS","County","OK","Pittsburg County","emissions (pounds)","-0.4031453878778848","-0.4596949015034397","-0.521364214667301","-0.5012724118439564","-0.6641075411538395","-0.4609918369412753","-0.27484602878803344","-0.2050399625445607","-0.30719142242242015","-0.5946481283202729","-0.5003948918501919","-0.4948651304816849"
"NH3","County","OK","Pittsburg County","emissions (pounds)","-9.532900725142099","-10.836416819955048","-12.556531660266046","-11.71087750112747","-15.502688792494155","-10.687037150175456","-6.288527469503606","-4.671179779164959","-7.144674939416291","-13.804062976854766","-11.845213061413233","-11.519629309434094"
"SO2","County","OK","Pittsburg County","percent","-0.04293733224534306","-0.060937513327540264","-0.06513028922982936","-0.06699236529503552","-0.05306564127314789","-0.020994026516838897","-0.011057492157645591","-0.008930559815338602","-0.013522897878563171","-0.056615287295876726","-0.06093914279754842","-0.0553895310112931"
"NOX","County","OK","Pittsburg County","percent","-0.05490519547880085","-0.07372634242623213","-0.08089764023729651","-0.08355117023946647","-0.0922540103184875","-0.054781496035830955","-0.026655734124814038","-0.017977768427809585","-0.032129556672750095","-0.07017842196638224","-0.07597059345679347","-0.06440081056690088"
"CO2","County","OK","Pittsburg County","percent","-0.048560870819851734","-0.0709690391857653","-0.07868287877580322","-0.07992814441918059","-0.07408734315429927","-0.04044249058080494","-0.020719077470043562","-0.014212888951059367","-0.024898539633165115","-0.06643371989168942","-0.06998775965312404","-0.06261209089740073"
"PM25","County","OK","Pittsburg County","percent","-0.047168065933998624","-0.06857808033878941","-0.07791304336508294","-0.07932240139976918","-0.07309197608011446","-0.0381802059326398","-0.018842581454943937","-0.013215528844517136","-0.023038643962798894","-0.06515523541848357","-0.06833521108197992","-0.06373280261028681"
"VOCS","County","OK","Pittsburg County","percent","-0.04806434995936347","-0.07075622249902648","-0.07629641961804037","-0.08007038986342294","-0.07458717990926615","-0.04088248554580062","-0.02115364365725551","-0.014589216150940219","-0.02506509921076933","-0.06708985943524451","-0.06930357386377854","-0.06316897633299107"
"NH3","County","OK","Pittsburg County","percent","-0.04849808346231799","-0.07114466978698049","-0.07839904379464162","-0.07982527951142532","-0.07425146119539754","-0.04044262038367285","-0.020669655676281463","-0.014201623804343939","-0.02489082558220499","-0.06646932661031368","-0.07000474050987435","-0.06275489135604702"
"SO2","County","TX","Atascosa County","emissions (pounds)","-520.9623646992259","-348.89922663755715","-726.5619287269656","-647.5767907432746","-833.3110228267033","-289.12402770039625","-278.22299756505527","-697.2542111761868","-418.5979902581312","-720.272556748474","-530.6617435482331","-298.3168250510935"
"NOX","County","TX","Atascosa County","emissions (pounds)","-96.04269782954361","-59.448397940257564","-155.87257482408313","-149.55418188264593","-124.86384229821851","-8.462922859529499","-28.26307215122506","-122.61978961748537","-62.80235453165369","-145.34852720162598","-100.66764740820508","-78.45234592264751"
"CO2","County","TX","Atascosa County","emissions (tons)","-73.35171169892419","-47.48622817359865","-110.52115300067817","-106.74472086940659","-101.6765054493153","-21.143352750281338","-25.884144801530056","-77.84975808003219","-44.62955662491731","-113.32733003492467","-71.75311454909388","-48.44296150008449"
"PM25","County","TX","Atascosa County","emissions (pounds)","-8.104246248054551","-6.150152109639748","-12.440262225423794","-12.72190533194589","-12.111293214078614","-2.5486244331041235","-3.177646443924459","-9.271759914423455","-5.335388153704116","-13.245239747735468","-8.669707171000482","-5.988117091248569"
"VOCS","County","TX","Atascosa County","emissions (pounds)","-0.5354589396310985","-0.40634919354056365","-0.8219456092547262","-0.8405541651359272","-0.8002101643303376","-0.1683911982272548","-0.20995156653725644","-0.6125982084295174","-0.35251659387267864","-0.8751316055013376","-0.572819737526288","-0.39564331214910453"
"NH3","County","TX","Atascosa County","emissions (pounds)","-0.22694647147989144","-0.17222518635458073","-0.34836967311991884","-0.3562566384599677","-0.3391574214127786","-0.07137015639921174","-0.08898491309025758","-0.25964082686527945","-0.14940902317050586","-0.37091178286414106","-0.24278130143102317","-0.16768765448000522"
"SO2","County","TX","Atascosa County","percent","-0.03888058002933637","-0.03173472665515861","-0.062649164195936","-0.05868789191839619","-0.05302668906246892","-0.016344923666554927","-0.014312744697763377","-0.033249730349269944","-0.02249102497730633","-0.05223663657627704","-0.04403140598329827","-0.02332596764932042"
"NOX","County","TX","Atascosa County","percent","-0.02521829846084044","-0.01859617199067173","-0.04566983409546591","-0.04554255813296812","-0.03166251998706008","-0.0020554340378194707","-0.006433959097188097","-0.02649736182686676","-0.014847626694596909","-0.03753910138844912","-0.028766423392580773","-0.02130234066816613"
"CO2","County","TX","Atascosa County","percent","-0.027951694780307765","-0.021550081317958693","-0.047053091579214654","-0.04742373110118891","-0.03947248748525963","-0.007645313657310095","-0.008699886342034403","-0.02474032135688817","-0.015590310225240173","-0.04234018462098614","-0.02988026657218209","-0.019149321320056003"
"PM25","County","TX","Atascosa County","percent","-0.02588641351931772","-0.023387404548008632","-0.044348106507530335","-0.04727955235366244","-0.03941881871779393","-0.007725772047104544","-0.008950834999968444","-0.024696264907185517","-0.015622181159252707","-0.04149120895524067","-0.030236404949170393","-0.01982132746140901"
"VOCS","County","TX","Atascosa County","percent","-0.025886413519507604","-0.023387404547849575","-0.044348106507518054","-0.04727955235372118","-0.03941881871782415","-0.007725772046995885","-0.008950835000015216","-0.024696264907061","-0.015622181159186252","-0.04149120895528796","-0.030236404949150947","-0.01982132746146438"
"NH3","County","TX","Atascosa County","percent","-0.025886413519420202","-0.023387404547887687","-0.044348106507290964","-0.0472795523538067","-0.039418818717819076","-0.00772577204714793","-0.008950834999828872","-0.024696264907020614","-0.015622181159266878","-0.041491208955158856","-0.03023640494925469","-0.01982132746144891"
"SO2","County","TX","Bastrop County","emissions (pounds)","-0.9506397276120424","-1.038931652433348","-1.431334746198445","-1.1362938181337086","-1.3596695197279587","-2.3741137675947357","-2.3410814324665807","-1.235243013330546","-2.0084074664787295","-1.2182286042573196","-0.9916188276840785","-0.9566904887590226"
"NOX","County","TX","Bastrop County","emissions (pounds)","-99.7997147183778","-83.08691159215232","-108.12982456761529","-88.39681127243239","-241.7169617178879","-559.4749007405189","-567.6945453899098","-252.87484484683955","-444.5604536358733","-199.94381838152185","-86.09902876833803","-75.37423256682814"
"CO2","County","TX","Bastrop County","emissions (tons)","-104.51333490855177","-112.26539117709035","-146.6507527771464","-130.95541872603644","-143.795062036952","-198.40689715984627","-188.72568662109552","-95.44389023911208","-167.48016055719927","-133.60844685015036","-111.66400160660851","-108.03285000199685"
"PM25","County","TX","Bastrop County","emissions (pounds)","-8.340002797631314","-8.338549395835798","-10.370356466472003","-9.50843626637652","-12.82084255085283","-19.635580577058136","-19.186625892616576","-9.614986179480184","-16.4211599193477","-11.685170448128702","-8.387349594744592","-8.29590493941214"
"VOCS","County","TX","Bastrop County","emissions (pounds)","-2.852520597189141","-3.548521429023822","-5.3917126677743","-4.34691025664506","-3.5293289986302625","-4.315812896601528","-3.790274449693243","-1.924013551832104","-3.6025798078844673","-3.2924824580732093","-3.4493247205355146","-3.121218032397337"
"NH3","County","TX","Bastrop County","emissions (pounds)","-7.043371382453188","-8.072215340198454","-11.520682263841081","-9.688746438636372","-9.449773268439458","-12.708675455440243","-11.680797790442739","-5.834446405136987","-10.602350661258242","-8.705378652754007","-7.9684043864890555","-7.456104144592246"
"SO2","County","TX","Bastrop County","percent","-0.05462761149215635","-0.0783811331454644","-0.10001714240207159","-0.08891679128043022","-0.07392163957734246","-0.09321909071498229","-0.07272937360899412","-0.03361646893875298","-0.06706019934095342","-0.06470519850095094","-0.06593210585627957","-0.059168442284724766"
"NOX","County","TX","Bastrop County","percent","-0.09799593985168324","-0.11681611678146427","-0.12965067725064305","-0.13724928795838456","-0.19580736135249127","-0.21833189796824506","-0.1438318984934442","-0.0519420101483358","-0.12508348221064228","-0.15445260072366648","-0.10799949529597254","-0.08720391152450907"
"CO2","County","TX","Bastrop County","percent","-0.06029445813707065","-0.08653909066103546","-0.10593564613023713","-0.10584412495102209","-0.07785923087994091","-0.07856926002073965","-0.060407650135959896","-0.0270656446068469","-0.057466637371726206","-0.07176750329660672","-0.07556220809340196","-0.06756276182419331"
"PM25","County","TX","Bastrop County","percent","-0.0690706737102354","-0.09384159418078253","-0.10824430678368728","-0.11343095578356241","-0.09752697112035727","-0.10201120533553222","-0.07721134967081608","-0.03354952819853411","-0.07134843020936428","-0.08787557625462977","-0.08292719129515248","-0.07563572608998766"
"VOCS","County","TX","Bastrop County","percent","-0.04853471551226719","-0.0793367670620401","-0.1137843877232361","-0.10079706155840136","-0.057195441925408354","-0.05468097697795487","-0.04072139534484567","-0.01881405726035577","-0.041151511101490214","-0.053248910811307754","-0.06759713994279574","-0.05676785873923553"
