,Pollutant,Aggregation level,State,County,Unit of measure,January,February,March,April,May,June,July,August,September,October,November,December,Annual Emissions
140,CO2,County,CT,New London County,percent,-1.1447861440450249,-0.7511288470028817,-1.0348263285851889,-1.1615453491979535,-0.6407752454394247,-1.6986972907319395,-0.9407227130417924,-0.9913006763486936,-1.3831369103558475,-1.635844146076873,-1.004682958276409,-0.7903040838828947,-13.177750692984922
224,CO2,County,SD,Pennington County,percent,-0.7468098377038729,-0.8952555911936494,-0.7217267923406299,-1.022579764815444,-1.6829549045480463,-1.2803625865552497,-1.5345628276211336,-1.227594922480417,-1.3205203896014068,-0.9950425817146659,-0.4522719055644183,-0.7119182230989297,-12.591600327237863
308,CO2,County,ME,Oxford County,percent,-0.8609260278269385,-0.44712306971353377,-0.6883766281590444,-0.9498002984646424,-1.407774146068569,-1.3472549529487594,-0.8407290448289778,-1.073500836991358,-1.0629894916632547,-0.916608406462304,-0.3674536313629185,-0.4889134202782322,-10.451449954768533
200,CO2,County,NY,Lewis County,percent,0.4258322618637889,0.9181657705763496,-0.25229304218602705,-2.1764823470708112,-6.7540424361475,-0.6378124630955729,-0.4897313860791997,-0.26355657835070473,1.0218659908028882,-4.331306765812303,1.3468252096885112,0.9212342028294844,-10.271301582981096
164,CO2,County,MA,Barnstable County,percent,-0.4660870214849693,-0.7000199484535354,-0.3295507209416864,-1.5202132774983481,-0.2547387506753067,-2.2848624437289464,-0.9765936987495456,-1.0726947446912878,-0.8767352953707425,-0.2873889886340962,-0.7650263487286969,-0.5255513560182407,-10.0594625949754
212,CO2,County,MA,Hampden County,percent,-0.6277160299614172,-0.9043477038389524,-0.7816078736570354,-0.9535792604718548,-1.5554116720082918,-0.8172837193727028,-0.4800587256398621,-0.66532524066604,-0.8956487784752122,-0.9322633497415956,-0.4830446237154362,-0.4262575095421679,-9.522544487090569
176,CO2,County,MA,Berkshire County,percent,-0.4490286839321088,-0.6370741160471823,-0.3824053025991713,-0.31826526268890465,-2.1718869355988386,-0.5684485979604571,-0.7127204135392443,-0.9040520146587254,-1.2350204353408387,-0.8923507918142617,-0.5065801749537441,-0.6773518817605131,-9.45518461089399
296,CO2,County,TN,Weakley County,percent,-0.3296643667705665,-0.5523818902701714,-0.5234887966448336,-1.3817271262057147,-1.1519218751820537,-1.2873319914426369,-1.034977810355773,-0.8554662905151327,-0.6784776779065224,-0.5548813643447958,-0.4539369765419524,-0.5972973737581072,-9.40155353993826
80,CO2,County,NY,Allegany County,percent,-0.14722777957698496,-0.8129401139485376,-1.0137523024679431,-0.6966850420126508,-1.894139018190504,-0.9414753598567944,-0.38179882190912573,-0.4504046745446005,-0.5318206404974815,-1.2641189939025246,-0.27772799739488696,-0.9101285839675798,-9.322219328269615
380,CO2,County,NY,Wyoming County,percent,-0.4154961333724713,-0.7505565971785507,-0.6160968124210784,-1.329890102544678,-1.6717924669804496,-0.7540607675091999,-0.24469999484330054,-0.3649025601689025,-0.6534680681675545,-1.0146335834384568,-0.5241245736399068,-0.5923470375004112,-8.932068697764961
