,Pollutant,Aggregation level,State,County,Unit of measure,January,February,March,April,May,June,July,August,September,October,November,December,Annual Emissions,County FIPS Code,Year,Labor Force,Employed,Unemployed,Unemployment Rate (%)
0,CO2,County,CT,New London County,percent,-1.1447861440450249,-0.7511288470028817,-1.0348263285851889,-1.1615453491979535,-0.6407752454394247,-1.6986972907319395,-0.9407227130417924,-0.9913006763486936,-1.3831369103558475,-1.635844146076873,-1.004682958276409,-0.7903040838828947,-13.177750692984922,11.0,2020.0,"131,992","119,313","12,679",9.6
1,CO2,County,SD,Pennington County,percent,-0.7468098377038729,-0.8952555911936494,-0.7217267923406299,-1.022579764815444,-1.6829549045480463,-1.2803625865552497,-1.5345628276211336,-1.227594922480417,-1.3205203896014068,-0.9950425817146659,-0.4522719055644183,-0.7119182230989297,-12.591600327237863,113.0,2020.0,"8,663","8,130",533,6.2
2,CO2,County,SD,Pennington County,percent,-0.7468098377038729,-0.8952555911936494,-0.7217267923406299,-1.022579764815444,-1.6829549045480463,-1.2803625865552497,-1.5345628276211336,-1.227594922480417,-1.3205203896014068,-0.9950425817146659,-0.4522719055644183,-0.7119182230989297,-12.591600327237863,103.0,2020.0,"57,094","54,074","3,020",5.3
3,CO2,County,ME,Oxford County,percent,-0.8609260278269385,-0.44712306971353377,-0.6883766281590444,-0.9498002984646424,-1.407774146068569,-1.3472549529487594,-0.8407290448289778,-1.073500836991358,-1.0629894916632547,-0.916608406462304,-0.3674536313629185,-0.4889134202782322,-10.451449954768533,17.0,2020.0,"25,815","24,097","1,718",6.7
4,CO2,County,NY,Lewis County,percent,0.4258322618637889,0.9181657705763496,-0.25229304218602705,-2.1764823470708112,-6.7540424361475,-0.6378124630955729,-0.4897313860791997,-0.26355657835070473,1.0218659908028882,-4.331306765812303,1.3468252096885112,0.9212342028294844,-10.271301582981096,61.0,2020.0,"1,662","1,534",128,7.7
5,CO2,County,NY,Lewis County,percent,0.4258322618637889,0.9181657705763496,-0.25229304218602705,-2.1764823470708112,-6.7540424361475,-0.6378124630955729,-0.4897313860791997,-0.26355657835070473,1.0218659908028882,-4.331306765812303,1.3468252096885112,0.9212342028294844,-10.271301582981096,135.0,2020.0,"4,648","4,205",443,9.5
6,CO2,County,NY,Lewis County,percent,0.4258322618637889,0.9181657705763496,-0.25229304218602705,-2.1764823470708112,-6.7540424361475,-0.6378124630955729,-0.4897313860791997,-0.26355657835070473,1.0218659908028882,-4.331306765812303,1.3468252096885112,0.9212342028294844,-10.271301582981096,111.0,2020.0,"4,966","4,723",243,4.9
7,CO2,County,NY,Lewis County,percent,0.4258322618637889,0.9181657705763496,-0.25229304218602705,-2.1764823470708112,-6.7540424361475,-0.6378124630955729,-0.4897313860791997,-0.26355657835070473,1.0218659908028882,-4.331306765812303,1.3468252096885112,0.9212342028294844,-10.271301582981096,49.0,2020.0,"11,389","10,515",874,7.7
8,CO2,County,NY,Lewis County,percent,0.4258322618637889,0.9181657705763496,-0.25229304218602705,-2.1764823470708112,-6.7540424361475,-0.6378124630955729,-0.4897313860791997,-0.26355657835070473,1.0218659908028882,-4.331306765812303,1.3468252096885112,0.9212342028294844,-10.271301582981096,101.0,2020.0,"5,325","4,924",401,7.5
9,CO2,County,NY,Lewis County,percent,0.4258322618637889,0.9181657705763496,-0.25229304218602705,-2.1764823470708112,-6.7540424361475,-0.6378124630955729,-0.4897313860791997,-0.26355657835070473,1.0218659908028882,-4.331306765812303,1.3468252096885112,0.9212342028294844,-10.271301582981096,41.0,2020.0,"35,103","31,819","3,284",9.4
10,CO2,County,NY,Lewis County,percent,0.4258322618637889,0.9181657705763496,-0.25229304218602705,-2.1764823470708112,-6.7540424361475,-0.6378124630955729,-0.4897313860791997,-0.26355657835070473,1.0218659908028882,-4.331306765812303,1.3468252096885112,0.9212342028294844,-10.271301582981096,41.0,2020.0,"6,337","5,649",688,10.9
